asset_type,metric,requirement_level,expected_frequency,description
hydropower,power_generation,core,quarterly,水电核心产量指标
hydropower,utilization_hours,core,quarterly,水电设备利用程度
hydropower,settled_electricity,core,quarterly,水电实际结算电量
hydropower,settlement_tariff_excl_tax,core,quarterly,水电不含税结算价格
hydropower,revenue,optional,quarterly,基金或项目公司营业收入
hydropower,distributable_amount,optional,quarterly,基金层面可供分配金额
wind,power_generation,core,quarterly,风电核心产量指标
wind,utilization_hours,core,quarterly,风电设备利用程度
wind,settled_electricity,core,quarterly,风电实际结算电量
wind,settlement_tariff,core,quarterly,风电含税结算价格
wind,grid_connected_electricity,optional,quarterly,风电上网电量
wind,availability_rate,optional,quarterly,风机可利用率
wind,average_wind_speed,optional,quarterly,报告披露的平均风速
wind,electricity_revenue,optional,quarterly,项目发电收入或含税结算电费
wind,settlement_revenue,optional,quarterly,风电含税或不含税结算电费
solar,power_generation,core,quarterly,光伏核心产量指标
solar,utilization_hours,core,quarterly,光伏设备利用程度
solar,settled_electricity,core,quarterly,光伏实际结算电量
solar,settlement_tariff,core,quarterly,光伏含税结算价格
solar,availability_rate,optional,quarterly,光伏设备可利用率
solar,electricity_revenue,optional,quarterly,光伏含税结算电费
solar,settlement_revenue,optional,quarterly,光伏含税或不含税结算电费
gas_power,power_generation,core,quarterly,燃气发电核心产量指标
gas_power,utilization_hours,core,quarterly,燃气机组等效利用小时
gas_power,settled_electricity,core,quarterly,燃气机组实际结算电量
gas_power,settlement_tariff,core,quarterly,燃气机组含税结算价格
gas_power,electricity_revenue,optional,quarterly,燃气发电不含税收入
gas_power,settlement_revenue,optional,quarterly,燃气发电结算电费
gas_power,fuel_consumption,optional,quarterly,液化天然气等燃料用量
gas_power,fuel_unit_cost,optional,quarterly,液化天然气等单位燃料成本
toll_road,traffic_volume,core,quarterly,收费公路总车流
toll_road,passenger_vehicle_traffic,optional,quarterly,客车车流拆分
toll_road,freight_vehicle_traffic,optional,quarterly,货车车流拆分
toll_road,toll_revenue,core,quarterly,通行费收入
industrial_park,occupancy,core,quarterly,产业园出租率
industrial_park,rentable_area,core,quarterly,产业园可出租面积
industrial_park,average_rent,optional,quarterly,产业园平均租金
industrial_park,rent_collection_rate,optional,quarterly,产业园租金收缴率
logistics,occupancy,core,quarterly,仓储物流出租率
logistics,rentable_area,core,quarterly,仓储物流可出租面积
logistics,average_rent,optional,quarterly,仓储物流平均租金
logistics,rent_collection_rate,optional,quarterly,仓储物流租金收缴率
