symbol,official_name,asset_type,verification_status,source_url,notes
180201,平安广州广河REIT,toll_road,human_verified,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e98b1e02-6b71-4e0c-8200-c51a13b7b40c.PDF,2026年第2季度报告及连续季度运营指标
180301,红土创新盐田港REIT,logistics,human_verified,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/07522a94-dc7a-46f6-b694-51f76af36494.PDF,2026年第2季度报告及首发现代物流中心连续出租率
508018,华夏中国交建REIT,toll_road,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-29/508018_20250329_2AXB.pdf,2024年年度报告
508026,嘉实中国电建清洁能源REIT,hydropower,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,水电试点正式季度报告
508056,中金普洛斯REIT,logistics,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-28/508056_20250328_6KQ4.pdf,2024年年度报告
508600,汇添富上海地产商业REIT,retail,human_verified,https://www.sse.com.cn/disclosure/announcement/listing/c/c_20260617_10822602.shtml,上交所上市交易公告
508601,中信建投首农商业REIT,retail,human_verified,https://etf.sse.com.cn/disclosure/ssenotice/c/c_20260617_10822607.shtml,上交所上市交易公告
508602,国泰海通砂之船商业REIT,retail,human_verified,https://www.sse.com.cn/disclosure/announcement/listing/c/c_20260617_10822605.shtml,上交所上市交易公告
508603,中金唯品会商业REIT,retail,human_verified,https://etf.sse.com.cn/disclosure/ssenotice/c/c_20260617_10822608.shtml,上交所上市交易公告
508607,华安陆家嘴商业REIT,retail,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-23/508607_20260623_JVPN.pdf,正式询价公告载明扩位简称和代码
508609,华安锦江商业REIT,retail,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-24/508609_20260624_W88R.pdf,正式询价公告载明扩位简称和代码
