symbol,asset_id,weather_point_id,period_end,data_kind,latitude,longitude,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,temperature_2m_mean_c,et0_fao_evapotranspiration_sum_mm,weather_days,source_url,retrieved_at,source_note
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2013-03-31,ex_post_reanalysis_era5,28.750000,101.750000,134.200000,35.800000,73.990000,7.833333,275.210000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2013-06-30,ex_post_reanalysis_era5,28.750000,101.750000,598.700000,518.400000,58.170000,16.067033,339.490000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2013-09-30,ex_post_reanalysis_era5,28.750000,101.750000,645.500000,638.400000,4.970000,19.955435,310.280000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2013-12-31,ex_post_reanalysis_era5,28.750000,101.750000,178.700000,99.200000,63.980000,8.671739,201.070000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2014-03-31,ex_post_reanalysis_era5,28.750000,101.750000,130.200000,35.200000,71.330000,6.404444,261.400000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2014-06-30,ex_post_reanalysis_era5,28.750000,101.750000,474.200000,426.500000,33.950000,17.026374,331.600000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2014-09-30,ex_post_reanalysis_era5,28.750000,101.750000,750.600000,741.200000,6.580000,19.921739,279.400000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2014-12-31,ex_post_reanalysis_era5,28.750000,101.750000,165.600000,106.600000,51.310000,10.222826,203.550000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2015-03-31,ex_post_reanalysis_era5,28.750000,101.750000,82.000000,33.300000,39.550000,8.383333,281.800000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2015-06-30,ex_post_reanalysis_era5,28.750000,101.750000,566.800000,505.800000,44.450000,17.042857,328.120000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
