symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508096,yulin_pv,2023-06-30,settled_electricity,12000,10k_kWh,1.2,亿千瓦时,2023-07-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-20/508096_20230720_A0O6.pdf,项目级当期披露；仅两位小数
508096,yulin_pv,2023-06-30,settlement_tariff,0.8103,RMB_per_kWh,0.8103,元/千瓦时（含税）,2023-07-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-20/508096_20230720_A0O6.pdf,项目级当期披露；含国补及报告所列结算项
508096,hubei_jingtai_pv,2023-06-30,settled_electricity,3200,10k_kWh,0.32,亿千瓦时,2023-07-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-20/508096_20230720_A0O6.pdf,项目级当期披露；仅两位小数
508096,hubei_jingtai_pv,2023-06-30,settlement_tariff,0.9927,RMB_per_kWh,0.9927,元/千瓦时（含税）,2023-07-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-20/508096_20230720_A0O6.pdf,项目级当期披露；含国补及报告所列结算项
508096,yulin_pv,2023-09-30,settled_electricity,11700,10k_kWh,1.17,亿千瓦时,2023-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-24/508096_20231024_ZVCR.pdf,项目级当期披露；仅两位小数
508096,yulin_pv,2023-09-30,settlement_tariff,0.7247,RMB_per_kWh,0.7247,元/千瓦时（含税）,2023-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-24/508096_20231024_ZVCR.pdf,项目级当期披露；含国补及报告所列结算项
508096,hubei_jingtai_pv,2023-09-30,settled_electricity,3400.0000000000005,10k_kWh,0.34,亿千瓦时,2023-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-24/508096_20231024_ZVCR.pdf,项目级当期披露；仅两位小数
508096,hubei_jingtai_pv,2023-09-30,settlement_tariff,0.9756,RMB_per_kWh,0.9756,元/千瓦时（含税）,2023-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-24/508096_20231024_ZVCR.pdf,项目级当期披露；含国补及报告所列结算项
508096,yulin_pv,2023-12-31,settled_electricity,9800,10k_kWh,0.98,亿千瓦时,2024-01-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-19/508096_20240119_MPWQ.pdf,项目级当期披露；仅两位小数
508096,yulin_pv,2023-12-31,settlement_tariff,0.776,RMB_per_kWh,0.7760,元/千瓦时（含税）,2024-01-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-19/508096_20240119_MPWQ.pdf,项目级当期披露；含国补及报告所列结算项
508096,hubei_jingtai_pv,2023-12-31,settled_electricity,2400,10k_kWh,0.24,亿千瓦时,2024-01-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-19/508096_20240119_MPWQ.pdf,项目级当期披露；仅两位小数
508096,hubei_jingtai_pv,2023-12-31,settlement_tariff,0.9547,RMB_per_kWh,0.9547,元/千瓦时（含税）,2024-01-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-19/508096_20240119_MPWQ.pdf,项目级当期披露；含国补及报告所列结算项
508096,yulin_pv,2024-03-31,settled_electricity,10500,10k_kWh,1.05,亿千瓦时,2024-04-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-20/508096_20240420_VD9G.pdf,项目级当期披露；仅两位小数
508096,yulin_pv,2024-03-31,settlement_tariff,0.7321,RMB_per_kWh,0.7321,元/千瓦时（含税）,2024-04-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-20/508096_20240420_VD9G.pdf,项目级当期披露；含国补及报告所列结算项
508096,hubei_jingtai_pv,2024-03-31,settled_electricity,2200,10k_kWh,0.22,亿千瓦时,2024-04-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-20/508096_20240420_VD9G.pdf,项目级当期披露；仅两位小数
508096,hubei_jingtai_pv,2024-03-31,settlement_tariff,0.9808,RMB_per_kWh,0.9808,元/千瓦时（含税）,2024-04-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-20/508096_20240420_VD9G.pdf,项目级当期披露；含国补及报告所列结算项
508096,yulin_pv,2024-06-30,settled_electricity,13799.999999999998,10k_kWh,1.38,亿千瓦时,2024-07-18,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-18/508096_20240718_M0BE.pdf,项目级当期披露；仅两位小数
508096,yulin_pv,2024-06-30,settlement_tariff,0.751,RMB_per_kWh,0.7510,元/千瓦时（含税）,2024-07-18,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-18/508096_20240718_M0BE.pdf,项目级当期披露；含国补及报告所列结算项
