announcement_id,symbol,publication_date,period_end_candidate,title,source_url,retrieved_at,content_sha256,content_length_bytes,retrieval_status,failure_reason,fund_shares,nav_per_unit,raw_text
SZSE_1212581549,180101,2022-03-16,2021-12-31,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2021年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-03-16/569d10f5-9abb-41ef-a385-592a4e813d7a.PDF,2026-09-05T06:27:03.386920+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2022-03-16/569d10f5-9abb-41ef-a385-592a4e813d7a.PDF,,,
SZSE_1216146979,180101,2023-03-20,2022-12-31,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-17/6eb3f77a-e98e-44e0-8d45-5d9c5598f289.PDF,2026-09-05T06:27:03.387522+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-17/6eb3f77a-e98e-44e0-8d45-5d9c5598f289.PDF,,,
SZSE_1216257317,180101,2023-03-30,2022-12-31,博时蛇口产园REIT：关于《博时招商蛇口产业园封闭式基础设施证券投资基金2022年年度报告》的补充说明,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/a78d1c6c-5a9b-418a-84db-ad4c6ce7f1d9.PDF,2026-09-05T06:27:03.387902+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/a78d1c6c-5a9b-418a-84db-ad4c6ce7f1d9.PDF,,,
SZSE_1219304539,180101,2024-03-14,2023-12-31,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-14/34349ae8-d6cf-4fb4-8115-448385cfb480.PDF,2026-09-05T06:27:03.585774+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-14/34349ae8-d6cf-4fb4-8115-448385cfb480.PDF,,,
SZSE_1222786719,180101,2025-03-14,2024-12-31,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-13/95dd58af-cef3-4607-9991-4f43afe0fbde.PDF,2026-09-05T06:27:03.588643+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-13/95dd58af-cef3-4607-9991-4f43afe0fbde.PDF,,,
SZSE_1225008519,180101,2026-03-14,2025-12-31,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-14/35bb8f1b-dee9-4ef5-98dc-9df496202c5f.PDF,2026-09-05T06:27:03.645841+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-14/35bb8f1b-dee9-4ef5-98dc-9df496202c5f.PDF,,,
SZSE_1216259923,180102,2023-03-30,2022-12-31,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2022年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/0883f207-bcb7-4741-9289-709e7b91d928.PDF,2026-09-05T06:27:03.647644+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/0883f207-bcb7-4741-9289-709e7b91d928.PDF,,,
SZSE_1219424784,180102,2024-03-28,2023-12-31,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-27/c14956bd-016f-41b6-8a02-9c1ead46ba41.PDF,2026-09-05T06:27:03.687567+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-27/c14956bd-016f-41b6-8a02-9c1ead46ba41.PDF,,,
SZSE_1222939660,180102,2025-03-31,2024-12-31,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/fa60ea6c-d55d-4477-a151-81ca2ce87755.PDF,2026-09-05T06:27:03.708841+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/fa60ea6c-d55d-4477-a151-81ca2ce87755.PDF,,,
SZSE_1225052587,180102,2026-03-31,2025-12-31,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2025年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/b2d4943e-53fd-4bbc-9c2e-e216a7728474.PDF,2026-09-05T06:27:03.714988+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/b2d4943e-53fd-4bbc-9c2e-e216a7728474.PDF,,,
SZSE_1219424746,180103,2024-03-28,2023-12-31,华夏和达高科REIT：华夏杭州和达高科产业园封闭式基础设施证券投资基金2023年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-27/f5c5ac2a-a8f1-4287-be61-49fbcb577505.PDF,2026-09-05T06:27:03.760725+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-27/f5c5ac2a-a8f1-4287-be61-49fbcb577505.PDF,,,
SZSE_1222939939,180103,2025-03-31,2024-12-31,华夏和达高科REIT：华夏杭州和达高科产业园封闭式基础设施证券投资基金2024年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/674fdebd-8dd8-4b88-948f-9bf6e3abd1c5.PDF,2026-09-05T06:27:03.762872+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/674fdebd-8dd8-4b88-948f-9bf6e3abd1c5.PDF,,,
SZSE_1225052561,180103,2026-03-31,2025-12-31,华夏和达高科REIT：华夏杭州和达高科产业园封闭式基础设施证券投资基金2025年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/d85880de-8460-4f9d-8167-d306e8657002.PDF,2026-09-05T06:27:03.766365+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/d85880de-8460-4f9d-8167-d306e8657002.PDF,,,
SZSE_1222961529,180105,2025-03-31,2024-12-31,易方达广开产园REIT：易方达广州开发区高新产业园封闭式基础设施证券投资基金2024年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-30/0199c26f-3a19-4087-aeea-db82e29cdd72.PDF,2026-09-05T06:27:03.819002+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-30/0199c26f-3a19-4087-aeea-db82e29cdd72.PDF,,,
SZSE_1225051140,180105,2026-03-31,2025-12-31,易方达广开产园REIT：易方达广州开发区高新产业园封闭式基础设施证券投资基金2025年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/67531214-f81d-4767-a39f-8c10f5bef80d.PDF,2026-09-05T06:27:03.819428+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/67531214-f81d-4767-a39f-8c10f5bef80d.PDF,,,
SZSE_1225042580,180106,2026-03-30,2025-12-31,广发成都高投产业园REIT：广发成都高投产业园封闭式基础设施证券投资基金2025年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/139043c1-3bce-4a27-b50c-8655447a62bf.PDF,2026-09-05T06:27:03.820937+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/139043c1-3bce-4a27-b50c-8655447a62bf.PDF,,,
SZSE_1212745951,180201,2022-03-31,2021-12-31,平安广州广河REIT：平安广州交投广河高速公路封闭式基础设施证券投资基金2021年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-03-31/4f80ba7a-6bb9-4fae-bb8e-cadda5b829c0.PDF,2026-09-05T06:27:03.876976+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2022-03-31/4f80ba7a-6bb9-4fae-bb8e-cadda5b829c0.PDF,,,
SZSE_1216259643,180201,2023-03-30,2022-12-31,平安广州广河REIT：平安广州交投广河高速公路封闭式基础设施证券投资基金2022年年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/9e79bd0c-a4db-41b3-92ee-24aff9d77978.PDF,2026-09-05T06:27:03.878273+00:00,,,failed,403 Client Error: Forbidden for url: https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-29/9e79bd0c-a4db-41b3-92ee-24aff9d77978.PDF,,,
