announcement_id,symbol,publication_date,title,source_url,retrieved_at,content_sha256,content_length_bytes,retrieval_status,failure_reason,ex_date,dpu_per_unit,disclosed_rmb_per_10_units,raw_text
SZSE_1211704165,180101,2021-11-26,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk02/finalpage/2021-11-26/a275f84e-c50f-4968-a64c-b259ee041bf5.PDF,2026-09-05T06:00:38.665929+00:00,53413d9bcbb1e0aa7bdb5a3c031ed48d400eeb653e8829d036f9f3f966a56cf6,177854.0,success,,2021-12-01,0.0274,0.274,本次分红方案（单位：人民币元/10 份 0.2740 基金份额） ；除息日 2021 年 12 月 1 日（场内） 2021 年 11 月 30 日（场外）
SZSE_1212762159,180101,2022-04-01,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-04-01/c75f25ba-0f1d-4c28-bd69-bcd6d3a39a34.PDF,2026-09-05T06:00:38.666211+00:00,657626352f0a73d976694894ab0fbd738bee6ee7a33fb51deb8a899cdae38180,177608.0,success,,2022-04-08,0.0301,0.301,本次分红方案（单位：人民币元/10 份 0.3010 基金份额） ；除息日 2022 年 4 月 8 日（场内） 2022 年 4 月 7 日（场外）
SZSE_1215355753,180101,2022-12-15,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-12-14/9364b9fe-1684-420e-ac0e-c19c649b80f0.PDF,2026-09-05T06:00:38.666467+00:00,f9c291d3a86a86003444ae56b7d52c52a4324e21ea6788cd522cf323a4ac51d3,227445.0,success,,2022-12-20,0.0566,0.566,本次分红方案（单位：人民币元/10 份 0.5660 基金份额） ；除息日 2022 年 12 月 20 日（场内） 2022 年 12 月 19 日（场外）
SZSE_1216269883,180101,2023-03-31,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-30/b280998e-de28-4cec-98b7-82355d441362.PDF,2026-09-05T06:00:38.666658+00:00,8dc9eccc828219a13d8222a4d5cd9618e8a2b55172e1d59fed6d8af8806accd8,227957.0,success,,2023-04-06,0.0396,0.396,本次分红方案（单位：人民币元/10 份 0.3960 基金份额） ；除息日 2023 年 4 月 6 日（场内） 2023 年 4 月 4 日（场外）
SZSE_1218164332,180101,2023-10-27,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-10-26/34fb290f-7a16-412d-9d30-a60c0e7ac8f5.PDF,2026-09-05T06:00:38.666872+00:00,258417fdefbf740151a6a5954b685698fdffb8a28ca45eb149bb2044a2bcfd46,227798.0,success,,2023-11-01,0.0479,0.479,本次分红方案（单位：人民币元/10 份 0.4790 基金份额） ；除息日 2023 年 11 月 1 日（场内） 2023 年 10 月 31 日（场外）
SZSE_1219549913,180101,2024-04-10,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-09/2d287743-d53e-4573-94b9-a7a3b194de12.PDF,2026-09-05T06:00:38.667028+00:00,d281d8c2073eb3820dc6360c7d5ae1ee95f6c1363a41cc3e69332985b9254e5d,232129.0,success,,2024-04-15,0.0336,0.336,本次分红方案（单位：人民币元/10 份 0.3360 基金份额） ；除息日 2024 年 4 月 15 日（场内） 2024 年 4 月 12 日（场外）
SZSE_1220907200,180101,2024-08-20,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-19/d28a7b90-3b38-460b-86b4-fadf86225b6f.PDF,2026-09-05T06:00:38.810007+00:00,6443424c836505f357455e791e8d777950bf699a81ac3099bba576ab28a16b44,356112.0,success,,2024-08-23,0.0434,0.434,本次分红方案（单位：人民币元/10 份 0.4340 基金份额） ；除息日 2024 年 8 月 23 日（场内） 2024 年 8 月 22 日（场外）
SZSE_1225100230,180101,2026-04-15,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/892d9148-1781-4b84-b2ff-7a32fb4efa8c.PDF,2026-09-05T06:00:38.871438+00:00,e06001c75b6315d5acf94ad2fb0953e63d9f7c6b0a57d061782b98b800636476,83449.0,success,,2026-04-20,0.0231,0.231,本次分红方案（单位：元/10 0.2310 份基金份额） ；除息日 2026 年 4 月 20 日（场内） 2026 年 4 月 17 日（场外）
SZSE_1224424785,180102,2025-08-08,华夏合肥高新REIT：华夏基金管理有限公司关于华夏合肥高新创新产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-07/ad6ec83f-5a2c-4d63-87e9-82f98f78d36f.PDF,2026-09-05T06:00:39.150518+00:00,326ba8adcc35edfa20e655a0fef48fcb0fad19f81405e2ffb03ffa2a1552c262,310780.0,success,,2025-08-13,0.02446,0.2446,本次分红方案（单位：元 0.2446 /10份公募REITs份额） ；除息日 2025年8月13日（场内） 2025年8月12日（场外）
SZSE_1223041661,180105,2025-04-10,易方达广开产园REIT：易方达基金管理有限公司关于易方达广州开发区高新产业园封闭式基础设施证券投资基金收益分配的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-09/ee2bba7c-d2ac-43d1-9c76-4c5412301eb7.PDF,2026-09-05T06:00:39.462656+00:00,f763978951386c7fe2fe71b716689ea37a298fc976e1a2a572812bc5762df02c,136956.0,success,,2025-04-15,0.0439,0.439,本次分红方案（单位：元/10 份公募 0.439 REITs 份额） ；除息日 2025 年 4 月 15 日（场内） 2025 年 4 月 14 日（场外）
