announcement_id,symbol,publication_date,period_end_candidate,document_type,is_corrected,title,source_url,retrieved_at,content_sha256,content_length_bytes,retrieval_status,failure_reason,fund_shares,distributable_amount_period,distributable_amount_per_unit_period,nav_per_unit,raw_text
SZSE_1211393469,180101,2021-10-27,2021-09-30,quarterly_report,False,博时蛇口产园REIT：2021年第3季度报告,https://disc.static.szse.cn/disc/disk02/finalpage/2021-10-27/9930ff4e-ed5d-4a45-b147-17344e8eb12a.PDF,2026-09-05T13:14:36.835622+00:00,70f3dedce5e7fbfa47022085cb152a04e9aa8518f298cb05b6ad950a57c4be1d,536005.0,success,,900000000.0,22452987.12,0.02,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 22,452,987.12 元；单位可供分配金额 0.02 元/份"
SZSE_1212239392,180101,2022-01-24,2021-12-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2021年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-01-24/a50c9018-5cd3-4c8b-8d97-e3f3d9de2b1e.PDF,2026-09-05T13:14:36.835727+00:00,bbb796b273630a609482d38da1db8957f55b76c6b8134b033fac1f47b9d9ae02,312573.0,success,,900000000.0,24275671.13,0.03,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 24,275,671.13 元；单位可供分配金额 0.03 元/份"
SZSE_1213014882,180101,2022-04-22,2022-03-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-04-21/9b45fe03-210b-431a-afed-210cbe7ad1f9.PDF,2026-09-05T13:14:36.835834+00:00,f0261a5b2115a2b1c9a251ee10f0ed27577d585fd26581af01199aa03f6755ca,252635.0,success,,900000000.0,16234104.51,0.02,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 16,234,104.51 元；单位可供分配金额 0.02 元/份"
SZSE_1214093978,180101,2022-07-21,2022-06-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-07-20/a27b7594-afd8-41cd-ac64-74193ab6cec3.PDF,2026-09-05T13:14:36.835949+00:00,38206c486f41f069a901d5f4e81a1164d8ee729681621aca00cb9bc008152f91,359224.0,success,,900000000.0,12475761.29,0.01,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 12,475,761.29 元；单位可供分配金额 0.01 元/份"
SZSE_1214418531,180101,2022-08-29,2022-06-30,semiannual_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-08-26/e16390a9-b4f5-4a6a-a014-8dc861e3f837.PDF,2026-09-05T13:14:36.836045+00:00,40f4e7110fe1bd492f3296a9d41c3dfc4d296966e8d6e02714139189aa05f450,1434113.0,success,,900000000.0,28823467.3,0.03,2.3117,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 28,823,467.30 元；单位可供分配金额 0.03 元/份"
SZSE_1214897761,180101,2022-10-26,2022-09-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-10-25/4eefe41d-e2a3-4d33-8990-31b176f2e2ea.PDF,2026-09-05T13:14:36.836166+00:00,5c9a1ce52df1e8aab504f1b0598eacdbc47b681b9016db3fc7f746a7ef2a3b73,414715.0,success,,900000000.0,22122172.34,0.02,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 22,122,172.34 元；单位可供分配金额 0.02 元/份"
SZSE_1215665039,180101,2023-01-20,2022-12-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2022年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-01-19/5a1dce81-e6d6-4cb4-a728-3a59c1566f37.PDF,2026-09-05T13:14:37.071818+00:00,1639eeefa9c26d094111dbd26d167cacaf0565cc37ccaf737a37abb0f6888bad,411889.0,success,,900000000.0,35666079.59,0.04,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 35,666,079.59 元；单位可供分配金额 0.04 元/份"
SZSE_1216486942,180101,2023-04-21,2023-03-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-20/915ccecc-98f0-4889-b42d-6094bb4e5a3e.PDF,2026-09-05T13:14:37.100299+00:00,1a2e29ffdb4104b347a8938987dae088eacb91fc28eff9bf60e7ae5344dac4a1,385750.0,success,,900000000.0,14650776.95,0.02,,"报告期末基金份额总额 900,000,000.00 份；本期可供分配金额 14,650,776.95 元；单位可供分配金额 0.02 元/份"
SZSE_1217345144,180101,2023-07-21,2023-06-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-07-20/5f390904-1f21-4391-ac0a-6c85a9eb9079.PDF,2026-09-05T13:14:37.112105+00:00,3264c37b46e2134111a346f31902bc4963400d6948848d6a2d806643a78e9d4a,475779.0,success,,1421130866.0,22795223.93,0.016,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 22,795,223.93 元；单位可供分配金额 0.0160 元/份"
SZSE_1217647769,180101,2023-08-28,2023-06-30,semiannual_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-08-25/540de4fb-e568-4bf0-b317-c7fd04689003.PDF,2026-09-05T13:14:37.116585+00:00,347ed7f47f1dc6b11bcdc12e3ce5d85f1be851817b57f92fd1da6558a54eb724,1666082.0,success,,1421130866.0,37386695.76,0.0263,2.3127,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 37,386,695.76 元；单位可供分配金额 0.0263 元/份"
SZSE_1218133998,180101,2023-10-25,2023-09-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-10-24/6d2bef77-fe04-4533-8d2f-153703b78a37.PDF,2026-09-05T13:14:37.123128+00:00,c1b1546a1f9223202fb8b21c76f5c3350b1c1d4d3afa99216f42a784a4fc5e4d,417332.0,success,,1421130866.0,30706570.3,0.0216,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 30,706,570.30 元；单位可供分配金额 0.0216 元/份"
SZSE_1218949797,180101,2024-01-22,2023-12-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-01-19/65ce71b0-ad41-445d-9aa2-943026b99b92.PDF,2026-09-05T13:14:37.252606+00:00,672333936db122a38046bb74163565f79fe490bcdc79242e8aee0902d1ee0e14,396235.0,success,,1421130866.0,50103365.68,0.0353,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 50,103,365.68 元；单位可供分配金额 0.0353 元/份"
SZSE_1219688026,180101,2024-04-22,2024-03-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-19/10e99dbe-3c45-410b-ba2c-17684785a11b.PDF,2026-09-05T13:14:37.286836+00:00,289c8a82ed5b4bece82516ae7fef91585d8d1d05c907bfa59c6146381e18f9b5,454124.0,success,,1421130866.0,27676192.15,0.0195,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 27,676,192.15 元；单位可供分配金额 0.0195 元/份"
SZSE_1220674668,180101,2024-07-19,2024-06-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-18/32605e36-01b9-46fc-88f5-8a6d6b72eaa9.PDF,2026-09-05T13:14:37.295557+00:00,4192c1d3ff701ccd4778b4f6cd60c49a94507a54e887523f7a56a18c21463242,394231.0,success,,1421130866.0,34085605.75,0.024,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 34,085,605.75 元；单位可供分配金额 0.0240 元/份"
SZSE_1221050311,180101,2024-08-30,2024-06-30,semiannual_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-29/6d02fdf0-e5ed-447b-8f68-a0c084aee4ad.PDF,2026-09-05T13:14:37.340362+00:00,52fb0383810b6a9a32c07569c9ee5b26c2684dbded0029f9c49aea244eaaa5fe,1694023.0,success,,1421130866.0,61761797.9,0.0435,2.28,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 61,761,797.90 元；单位可供分配金额 0.0435 元/份"
SZSE_1221505918,180101,2024-10-25,2024-09-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-24/9bbb030c-6c1a-478e-ace3-872d5a4e6f32.PDF,2026-09-05T13:14:37.502516+00:00,0d6207e6b813673d722fa6350b2ea6e1fbdf3fb47aab27488d2c7c313bcdd4c5,393453.0,success,,1421130866.0,36806401.39,0.0259,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 36,806,401.39 元；单位可供分配金额 0.0259 元/份"
SZSE_1222387318,180101,2025-01-22,2024-12-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2024年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-21/1003d894-a537-4e49-af07-cd504f32129b.PDF,2026-09-05T13:14:37.505687+00:00,dfbc606737a1433644950bf776163db842e41b320b52525513ed0f5bd59e722d,999963.0,success,,1421130866.0,43059792.66,0.0303,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 43,059,792.66 元；单位可供分配金额 0.0303 元/份"
SZSE_1223187120,180101,2025-04-22,2025-03-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-21/efd94342-49aa-42c0-8e88-e8a29e44be24.PDF,2026-09-05T13:14:37.510220+00:00,2e32b990727fe2777712f3a71fce84bb201657750577d652f4529bd5fd2dd146,488543.0,success,,1421130866.0,23787263.95,0.0167,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 23,787,263.95 元；单位可供分配金额 0.0167 元/份"
SZSE_1224214198,180101,2025-07-21,2025-06-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-18/131a2b09-3651-4e32-8306-8e91ff488834.PDF,2026-09-05T13:14:37.510524+00:00,5037bee683d0b624333e6b4a455db455991f116724460d368bf7ab3352f21e66,538601.0,success,,1421130866.0,33009835.08,0.0232,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 33,009,835.08 元；单位可供分配金额 0.0232 元/份"
SZSE_1224574254,180101,2025-08-27,2025-06-30,semiannual_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-27/e1592c0e-65b1-475b-aaee-e7b765d595ee.PDF,2026-09-05T13:14:37.537158+00:00,06fb85907190b4cc8952c8a790b5ae167327213c5ddb2020b8cc7d2e4a2a373d,588629.0,success,,1421130866.0,56797099.03,0.04,2.2127,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 56,797,099.03 元；单位可供分配金额 0.0400 元/份"
SZSE_1224739913,180101,2025-10-28,2025-09-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-28/b7d16ecd-2200-4ab1-a9c8-6e6c5ca6cab3.PDF,2026-09-05T13:14:37.727896+00:00,b8650eb233fc5f06c36273df08614cbccf80055eedece8f26b7847c62a17f344,235508.0,success,,1421130866.0,28532233.43,0.0201,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 28,532,233.43 元；单位可供分配金额 0.0201 元/份"
SZSE_1224944195,180101,2026-01-22,2025-12-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2025年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-01-22/1f78f675-8695-4271-8a34-1de68e950b21.PDF,2026-09-05T13:14:37.728452+00:00,d0c9e610f062df3d47ca696b523f6cd21f4293662b84cccb6c67be467566064a,270395.0,success,,1421130866.0,35287081.11,0.0248,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 35,287,081.11 元；单位可供分配金额 0.0248 元/份"
SZSE_1225136711,180101,2026-04-22,2026-03-31,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2026年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/3c35e190-6352-41d4-b055-cb4ac63db37c.PDF,2026-09-05T13:14:37.755124+00:00,1608f1f5f8933311b0d30aa3e007a221c2c553b82ba809e56cc17121cf98f7c5,231371.0,success,,1421130866.0,20355551.68,0.0143,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 20,355,551.68 元；单位可供分配金额 0.0143 元/份"
SZSE_1225433699,180101,2026-07-21,2026-06-30,quarterly_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2026年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/91ad45f0-754f-429d-a23d-d750d53e4ed3.PDF,2026-09-05T13:14:37.779488+00:00,8e7d913d9bf74107d6dcacacc45980f9c0a0a7327cec28aa038044a1e55f3234,304295.0,success,,1421130866.0,31164190.68,0.0219,,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 31,164,190.68 元；单位可供分配金额 0.0219 元/份"
SZSE_1225514622,180101,2026-08-27,2026-06-30,semiannual_report,False,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2026年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-27/6b8c7b56-88ba-42ca-8aa5-34a5e81431ef.PDF,2026-09-05T13:14:37.806518+00:00,61e001e2393c6c0c6c43685bab8b0c44295b6770e68b4af4c7832d6a8e35c1bc,690414.0,success,,1421130866.0,32827929.51,0.0231,2.1141,"报告期末基金份额总额 1,421,130,866.00 份；本期可供分配金额 32,827,929.51 元；单位可供分配金额 0.0231 元/份"
SZSE_1215669113,180102,2023-01-20,2022-12-31,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2022年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-01-19/70e57bfd-1ca6-4be5-85e9-1346cc9a30f2.PDF,2026-09-05T13:14:37.897120+00:00,92debf548c8658c6169f6281e665c189c93925cd7cf800ebf66f8d2594c3c232,347616.0,success,,700000000.0,18551261.02,0.0265,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,551,261.02 元；单位可供分配金额 0.0265 元/份"
SZSE_1216489558,180102,2023-04-21,2023-03-31,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-20/777f0148-28cc-4db3-991a-c082406e3f8f.PDF,2026-09-05T13:14:37.901394+00:00,3c03edf1165f57b08f46638b32b9c61d1bc08bfbb9f97940f93638cb48d8391b,322314.0,success,,700000000.0,18515798.43,0.0265,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,515,798.43 元；单位可供分配金额 0.0265 元/份"
SZSE_1217333933,180102,2023-07-20,2023-06-30,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-07-19/abbf687f-870a-4bf6-ab72-99cdd30bbf04.PDF,2026-09-05T13:14:37.905313+00:00,355be43cf2bd086b78c4c162aefe1f12eb44e92b99cae84ad401477466716428,339228.0,success,,700000000.0,18913358.49,0.027,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,913,358.49 元；单位可供分配金额 0.0270 元/份"
SZSE_1217695171,180102,2023-08-30,2023-06-30,semiannual_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-08-29/260313f3-b9e3-4578-a0d6-7e8fa62f5388.PDF,2026-09-05T13:14:37.919941+00:00,9a62a81c16229c7146bccc7934cc4c990df2cd5fcaeaa4b09d4d4f4d2c96c555,1769450.0,success,,700000000.0,37429156.92,0.0535,2.2091,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 37,429,156.92 元；单位可供分配金额 0.0535 元/份"
SZSE_1218124099,180102,2023-10-24,2023-09-30,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-10-23/d0f51128-e06a-4003-a646-1cb096cc46ae.PDF,2026-09-05T13:14:37.926785+00:00,be2f0bd0af282199c95682b99d61b996f663001df0443f6d2b3071e26c9bd18d,335285.0,success,,700000000.0,19173659.5,0.0274,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 19,173,659.50 元；单位可供分配金额 0.0274 元/份"
SZSE_1218944025,180102,2024-01-19,2023-12-31,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2023年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-01-18/1e50b5b8-6d03-4559-8bac-674f1d72dc2c.PDF,2026-09-05T13:14:38.059746+00:00,8b5ea31aba7d228c7aafde3fd6905bcfa0203787c26d4295affdd352798cd71e,341089.0,success,,700000000.0,19232235.7,0.0275,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 19,232,235.70 元；单位可供分配金额 0.0275 元/份"
SZSE_1219663879,180102,2024-04-19,2024-03-31,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年第1季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-18/e0688147-ef20-4096-8c33-acfefe4646fe.PDF,2026-09-05T13:14:38.094019+00:00,b592776da762ce501d2921cc4bf15b4ea18f8f8a3f066596dde167857b71cb72,354179.0,success,,700000000.0,18918805.06,0.027,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,918,805.06 元；单位可供分配金额 0.0270 元/份"
SZSE_1220663160,180102,2024-07-18,2024-06-30,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年第2季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-17/c4d32f6b-d323-40de-a83e-554b8dab476c.PDF,2026-09-05T13:14:38.094429+00:00,6e71daa5840608da55919fdde4a05f43ea4eebd3572fa37726274b371fdf091a,343789.0,success,,700000000.0,18993189.69,0.0271,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,993,189.69 元；单位可供分配金额 0.0271 元/份"
SZSE_1221046789,180102,2024-08-30,2024-06-30,semiannual_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年中期报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-29/c38c1845-f684-480c-96e3-04cc12a104ae.PDF,2026-09-05T13:14:38.098554+00:00,6221605893084bad58526efd82128c0a28610b06b3b5cd76f49469a4e0a35399,2145703.0,success,,700000000.0,37911994.75,0.0542,2.108,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 37,911,994.75 元；单位可供分配金额 0.0542 元/份"
SZSE_1221505080,180102,2024-10-25,2024-09-30,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年第3季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-24/677d6e51-7a1d-4ba0-ad5a-3d6a27eea7c4.PDF,2026-09-05T13:14:38.118172+00:00,fcea6f0c73ca175ec35d419e8b881d29a1e8a02920620e0562e5db82314e13a2,420077.0,success,,700000000.0,18808763.86,0.0269,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,808,763.86 元；单位可供分配金额 0.0269 元/份"
SZSE_1222389979,180102,2025-01-22,2024-12-31,quarterly_report,False,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2024年第4季度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-21/a30a39c9-572d-45ab-99d2-3554e395b710.PDF,2026-09-05T13:14:38.315582+00:00,5e65d6e1d94e686459190bbf9d443fa0ab49f74fc0cffa51958d6b6124aee860,611073.0,success,,700000000.0,18933171.98,0.027,,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 18,933,171.98 元；单位可供分配金额 0.0270 元/份"
