observation_id,dataset,symbol,period_end,publication_date,metric,value,unit,source_url,source_sha256,current_verification_status,review_status,reviewed_by,reviewed_at,review_notes
68eb2e179406a60cf0686fbc924dd3142d6798535b939acdafa2816ff2be0062,full_market_periodic_fundamentals,180101,2021-09-30,2021-10-27,distributable_amount_per_unit_period,0.02,RMB_per_unit,https://disc.static.szse.cn/disc/disk02/finalpage/2021-10-27/9930ff4e-ed5d-4a45-b147-17344e8eb12a.PDF,70f3dedce5e7fbfa47022085cb152a04e9aa8518f298cb05b6ad950a57c4be1d,machine_extracted_official_pdf,pending_independent_review,,,
db2a9c4333a9e67e8fed26b6d5005a1e68cfc10a5ade45bca3f4754f303f2ebd,full_market_periodic_fundamentals,180101,2021-09-30,2021-10-27,distributable_amount_period,22452987.12,RMB,https://disc.static.szse.cn/disc/disk02/finalpage/2021-10-27/9930ff4e-ed5d-4a45-b147-17344e8eb12a.PDF,70f3dedce5e7fbfa47022085cb152a04e9aa8518f298cb05b6ad950a57c4be1d,machine_extracted_official_pdf,pending_independent_review,,,
7b935c952df5597a6f9f64139ba7c1802b8c4e94e6698219a39da84a6cdb4cbd,full_market_periodic_fundamentals,180101,2021-09-30,2021-10-27,fund_shares,900000000,shares,https://disc.static.szse.cn/disc/disk02/finalpage/2021-10-27/9930ff4e-ed5d-4a45-b147-17344e8eb12a.PDF,70f3dedce5e7fbfa47022085cb152a04e9aa8518f298cb05b6ad950a57c4be1d,machine_extracted_official_pdf,pending_independent_review,,,
bcf76cf70b2dd418fc01213cf7693764a5a3ba4c67bc7e4b3e2b740189e894ca,full_market_periodic_fundamentals,180101,2021-12-31,2022-01-24,distributable_amount_per_unit_period,0.03,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2022-01-24/a50c9018-5cd3-4c8b-8d97-e3f3d9de2b1e.PDF,bbb796b273630a609482d38da1db8957f55b76c6b8134b033fac1f47b9d9ae02,machine_extracted_official_pdf,pending_independent_review,,,
b648b9a83efbe8f22645ddbfd2cab352d69b82a497a1dd0b5c8eacae53fc600e,full_market_periodic_fundamentals,180101,2021-12-31,2022-01-24,distributable_amount_period,24275671.13,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2022-01-24/a50c9018-5cd3-4c8b-8d97-e3f3d9de2b1e.PDF,bbb796b273630a609482d38da1db8957f55b76c6b8134b033fac1f47b9d9ae02,machine_extracted_official_pdf,pending_independent_review,,,
dbf627f4a4c89f11d8da021ba03ed019ba03530b9841ae3894dbab781fcb07d4,full_market_periodic_fundamentals,180101,2021-12-31,2022-01-24,fund_shares,900000000,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2022-01-24/a50c9018-5cd3-4c8b-8d97-e3f3d9de2b1e.PDF,bbb796b273630a609482d38da1db8957f55b76c6b8134b033fac1f47b9d9ae02,machine_extracted_official_pdf,pending_independent_review,,,
b2d0797374c20c434c963d6f386453ec0860d5b03fb477e6f2f0eef178e49a47,full_market_periodic_fundamentals,180101,2022-03-31,2022-04-22,distributable_amount_per_unit_period,0.02,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2022-04-21/9b45fe03-210b-431a-afed-210cbe7ad1f9.PDF,f0261a5b2115a2b1c9a251ee10f0ed27577d585fd26581af01199aa03f6755ca,machine_extracted_official_pdf,pending_independent_review,,,
b62ec30fe449cd4d120219aaccc8006125f8d97a9c5032caa7c28e0e9e5b40e6,full_market_periodic_fundamentals,180101,2022-03-31,2022-04-22,distributable_amount_period,16234104.51,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2022-04-21/9b45fe03-210b-431a-afed-210cbe7ad1f9.PDF,f0261a5b2115a2b1c9a251ee10f0ed27577d585fd26581af01199aa03f6755ca,machine_extracted_official_pdf,pending_independent_review,,,
9fa0af53fda32d7a5a54118d8cc21a4620ddfed2e99d0515a611ba64e7966ec6,full_market_periodic_fundamentals,180101,2022-03-31,2022-04-22,fund_shares,900000000,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2022-04-21/9b45fe03-210b-431a-afed-210cbe7ad1f9.PDF,f0261a5b2115a2b1c9a251ee10f0ed27577d585fd26581af01199aa03f6755ca,machine_extracted_official_pdf,pending_independent_review,,,
2bc2603675d7a4256c09463525e4075d0d1c86c5f7c30bbc54ab069a391fe22b,full_market_periodic_fundamentals,180101,2022-06-30,2022-08-29,distributable_amount_per_unit_period,0.03,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2022-08-26/e16390a9-b4f5-4a6a-a014-8dc861e3f837.PDF,40f4e7110fe1bd492f3296a9d41c3dfc4d296966e8d6e02714139189aa05f450,machine_extracted_official_pdf,pending_independent_review,,,
