symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct
180401,gas_settlement_yoy,2023-09-30,2023-10-24,settled_electricity,sum,dongbu_power_phase1,1,141972.6,2022-09-30,126370.2,12.346581709928461,180401:dongbu_power_phase1:20230930:settled_electricity:SZSE_1218124391,180401:dongbu_power_phase1:20220930:settled_electricity:SZSE_1214884507,unverified,unverified,contains_unverified_source_registry,0,,
180401,gas_settlement_yoy,2023-12-31,2024-01-19,settled_electricity,sum,dongbu_power_phase1,1,68366.1,2022-12-31,90426.05,-24.395569639501,180401:dongbu_power_phase1:20231231:settled_electricity:SZSE_1218945900,180401:dongbu_power_phase1:20221231:settled_electricity:SZSE_1215668650,unverified,unverified,contains_unverified_source_registry,1,12.346581709928461,-36.74215134942946
180401,gas_settlement_yoy,2024-03-31,2024-04-19,settled_electricity,sum,dongbu_power_phase1,1,57421.1,2023-03-31,59369.75,-3.282227060076892,180401:dongbu_power_phase1:20240331:settled_electricity:SZSE_1219663184,180401:dongbu_power_phase1:20230331:settled_electricity:SZSE_1216496666,unverified,unverified,contains_unverified_source_registry,2,-6.02449396478627,2.742266904709378
180401,gas_settlement_yoy,2024-06-30,2024-07-18,settled_electricity,sum,dongbu_power_phase1,1,99026.4,2023-06-30,108807.05,-8.98898554827101,180401:dongbu_power_phase1:20240630:settled_electricity:SZSE_1220664855,180401:dongbu_power_phase1:20230630:settled_electricity:SZSE_1217315893,unverified,unverified,contains_unverified_source_registry,3,-5.110404996549811,-3.8785805517211998
508028,wind_generation_yoy,2024-06-30,2024-07-19,power_generation,sum,binhai_h1_h2,1,25196.32,2023-06-30,35917.06,-29.848601193973,508028:binhai_h1_h2:20240630:power_generation:SSE_508028_20240719_95R7,508028:binhai_h1_h2:20230630:power_generation:SSE_508028_20230721_85FM,unverified,unverified,contains_unverified_source_registry,0,,
508096,solar_settlement_yoy,2024-06-30,2024-07-18,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,17100.0,2023-06-30,15200.0,12.5,508096:hubei_jingtai_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE|508096:yulin_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE,508096:hubei_jingtai_pv:20230630:settled_electricity:SSE_508096_20230720_A0O6|508096:yulin_pv:20230630:settled_electricity:SSE_508096_20230720_A0O6,unverified,unverified,contains_unverified_source_registry,0,,
180401,gas_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,dongbu_power_phase1,1,122828.75,2023-09-30,141972.6,-13.484186385260255,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,180401:dongbu_power_phase1:20230930:settled_electricity:SZSE_1218124391,unverified,unverified,contains_unverified_source_registry,4,-6.080050134480111,-7.4041362507801445
508028,wind_generation_yoy,2024-09-30,2024-10-25,power_generation,sum,binhai_h1_h2,1,29151.13,2023-09-30,20370.39,43.10540937115097,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,508028:binhai_h1_h2:20230930:power_generation:SSE_508028_20231025_AA5D,unverified,unverified,contains_unverified_source_registry,1,-29.848601193973,72.95401056512397
508096,solar_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,13200.0,2023-09-30,15100.0,-12.58278145695364,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,508096:hubei_jingtai_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR|508096:yulin_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR,unverified,unverified,contains_unverified_source_registry,1,12.5,-25.08278145695364
180401,gas_settlement_yoy,2024-12-31,2025-01-21,settled_electricity,sum,dongbu_power_phase1,1,71922.4,2023-12-31,68366.1,5.201847114286151,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,180401:dongbu_power_phase1:20231231:settled_electricity:SZSE_1218945900,unverified,unverified,contains_unverified_source_registry,5,-7.56087738463614,12.762724498922292
508028,wind_generation_yoy,2024-12-31,2025-01-22,power_generation,sum,binhai_h1_h2,1,31073.04,2023-12-31,36070.11,-13.853769783346925,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,508028:binhai_h1_h2:20231231:power_generation:SSE_508028_20240122_M73M,unverified,unverified,contains_unverified_source_registry,2,6.628404088588985,-20.48217387193591
508096,solar_settlement_yoy,2024-12-31,2025-01-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,9000.0,2023-12-31,12200.0,-26.22950819672131,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,508096:hubei_jingtai_pv:20231231:settled_electricity:SSE_508096_20240119_MPWQ|508096:yulin_pv:20231231:settled_electricity:SSE_508096_20240119_MPWQ,unverified,unverified,contains_unverified_source_registry,2,-0.041390728476820016,-26.18811746824449
180401,gas_settlement_yoy,2025-03-31,2025-04-21,settled_electricity,sum,dongbu_power_phase1,1,50722.65,2024-03-31,57421.1,-11.665485335529969,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,180401:dongbu_power_phase1:20240331:settled_electricity:SZSE_1219663184,unverified,unverified,contains_unverified_source_registry,6,-5.433756634815758,-6.231728700714211
508028,wind_generation_yoy,2025-03-31,2025-04-22,power_generation,sum,binhai_h1_h2,1,34933.27,2024-03-31,42743.86,-18.27301043939411,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,508028:binhai_h1_h2:20240331:power_generation:SSE_508028_20240422_NS1X,unverified,unverified,contains_unverified_source_registry,3,-0.19898720205631845,-18.07402323733779
508096,solar_settlement_yoy,2025-03-31,2025-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,10300.0,2024-03-31,12700.0,-18.89763779527559,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,508096:hubei_jingtai_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G|508096:yulin_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G,unverified,unverified,contains_unverified_source_registry,3,-8.77076321789165,-10.126874577383939
180401,gas_settlement_yoy,2025-06-30,2025-07-18,settled_electricity,sum,dongbu_power_phase1,1,85166.4,2024-06-30,99026.4,-13.996267661956807,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,180401:dongbu_power_phase1:20240630:settled_electricity:SZSE_1220664855,unverified,unverified,contains_unverified_source_registry,7,-6.324003592060644,-7.672264069896163
508026,hydro_generation_yoy,2025-06-30,2025-07-21,power_generation,sum,wuyiqiao_1_5,1,9259.3872,2024-06-30,8100.44,14.307212941519222,508026:wuyiqiao_1_5:20250630:power_generation:508026_2025Q2,508026:wuyiqiao_1_5:20240630:power_generation:508026_2024Q2,verified,verified,verified,0,,
508028,wind_generation_yoy,2025-06-30,2025-07-21,power_generation,sum,binhai_h1_h2,1,33776.96,2024-06-30,25196.32,34.05513186052567,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,508028:binhai_h1_h2:20240630:power_generation:SSE_508028_20240719_95R7,unverified,unverified,contains_unverified_source_registry,4,-4.717493011390767,38.772624871916435
508096,solar_settlement_yoy,2025-06-30,2025-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11100.0,2024-06-30,17100.0,-35.08771929824561,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,508096:hubei_jingtai_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE|508096:yulin_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE,unverified,unverified,contains_unverified_source_registry,4,-11.302481862237634,-23.785237436007975
180401,gas_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,dongbu_power_phase1,1,114637.05,2024-09-30,122828.75,-6.669204074778912,180401:dongbu_power_phase1:20250930:settled_electricity:SZSE_1224738150,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,unverified,unverified,contains_unverified_source_registry,8,-7.283036600797665,0.6138325260187534
508026,hydro_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,wuyiqiao_1_5,1,22043.064,2024-09-30,23640.0112,-6.755272603254947,508026:wuyiqiao_1_5:20250930:power_generation:508026_2025Q3,508026:wuyiqiao_1_5:20240930:power_generation:508026_2024Q3,verified,verified,verified,1,14.307212941519222,-21.06248554477417
508028,wind_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,binhai_h1_h2,1,21963.23,2024-09-30,29151.13,-24.657363196555337,508028:binhai_h1_h2:20250930:power_generation:SSE_508028_20251028_036Z,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,unverified,unverified,contains_unverified_source_registry,5,3.037031962992522,-27.69439515954786
508096,solar_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11000.0,2024-09-30,13200.0,-16.666666666666664,508096:hubei_jingtai_pv:20250930:settled_electricity:SSE_508096_20251027_34QT|508096:yulin_pv:20250930:settled_electricity:SSE_508096_20251027_34QT,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,unverified,unverified,contains_unverified_source_registry,5,-16.05952934943923,-0.6071373172274335
180401,gas_settlement_yoy,2025-12-31,2026-01-21,settled_electricity,sum,dongbu_power_phase1,1,64582.65,2024-12-31,71922.4,-10.205096047962792,180401:dongbu_power_phase1:20251231:settled_electricity:SZSE_1224942753,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,unverified,unverified,contains_unverified_source_registry,9,-7.214832986795582,-2.9902630611672105
508026,hydro_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,wuyiqiao_1_5,1,9775.3648,2024-12-31,12754.297,-23.356302585708967,508026:wuyiqiao_1_5:20251231:power_generation:508026_2025Q4,508026:wuyiqiao_1_5:20241231:power_generation:508026_2024Q4,verified,verified,verified,2,3.7759701691321372,-27.132272754841104
508028,wind_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,binhai_h1_h2,1,35849.05,2024-12-31,31073.04,15.370269532688141,508028:binhai_h1_h2:20251231:power_generation:SSE_508028_20260122_8WBS,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,unverified,unverified,contains_unverified_source_registry,6,-1.5787005635987879,16.948970096286928
508096,solar_settlement_yoy,2025-12-31,2026-01-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,8500.0,2024-12-31,9000.0,-5.555555555555558,508096:hubei_jingtai_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ|508096:yulin_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,unverified,unverified,contains_unverified_source_registry,6,-16.160718902310467,10.60516334675491
180401,gas_settlement_yoy,2026-03-31,2026-04-21,settled_electricity,sum,dongbu_power_phase1,1,62136.25,2025-03-31,50722.65,22.501978898973142,180401:dongbu_power_phase1:20260331:settled_electricity:SZSE_1225132017,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,unverified,unverified,contains_unverified_source_registry,10,-7.5138592929123025,30.015838191885443
508026,hydro_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,wuyiqiao_1_5,1,8590.6752,2025-03-31,5791.1392,48.34171487364698,508026:wuyiqiao_1_5:20260331:power_generation:508026_2026Q1,508026:wuyiqiao_1_5:20250331:power_generation:508026_2025Q1,verified,verified,verified,3,-5.268120749148231,53.60983562279521
508028,wind_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,binhai_h1_h2,1,28156.57,2025-03-31,34933.27,-19.39898555159594,508028:binhai_h1_h2:20260331:power_generation:SSE_508028_20260422_YR89,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,unverified,unverified,contains_unverified_source_registry,7,0.8425808787279162,-20.241566430323854
508096,solar_settlement_yoy,2026-03-31,2026-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,9700.0,2025-03-31,10300.0,-5.825242718446599,508096:hubei_jingtai_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y|508096:yulin_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,unverified,unverified,contains_unverified_source_registry,7,-14.645695567059766,8.820452848613167
180401,gas_settlement_yoy,2026-06-30,2026-07-20,settled_electricity,sum,dongbu_power_phase1,1,60688.1,2025-06-30,85166.4,-28.741733829303573,180401:dongbu_power_phase1:20260630:settled_electricity:180401_2026Q2,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,verified,unverified,contains_unverified_source_registry,11,-4.785146730013626,-23.956587099289948
508026,hydro_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,wuyiqiao_1_5,1,8421.2304,2025-06-30,9259.3872,-9.051968363521933,508026:wuyiqiao_1_5:20260630:power_generation:508026_2026Q2,508026:wuyiqiao_1_5:20250630:power_generation:508026_2025Q2,verified,verified,verified,4,8.134338156550571,-17.186306520072506
508028,wind_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,binhai_h1_h2,1,25758.24,2025-06-30,33776.96,-23.740206341837744,508028:binhai_h1_h2:20260630:power_generation:508028_2026Q2,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,verified,unverified,contains_unverified_source_registry,8,-1.6876149250625656,-22.05259141677518
508096,solar_settlement_yoy,2026-06-30,2026-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,12200.0,2025-06-30,11100.0,9.90990990990992,508096:hubei_jingtai_pv:20260630:settled_electricity:508096_2026Q2|508096:yulin_pv:20260630:settled_electricity:508096_2026Q2,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,verified,unverified,contains_unverified_source_registry,8,-13.543138960983121,23.453048870893042
