rebalance_frequency,signal_date,entry_date,factor,symbol,factor_value,selected_count,eligible_universe_count,capacity_at_5pct_adv_rmb
monthly,2024-03-29,2024-04-01,momentum_20d,180801,0.017372679676344704,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_20d,508019,0.01475849731663681,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_20d,508007,0.010229839245383232,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_20d,508008,0.007449519702019236,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_20d,508006,0.0040232454179705,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_20d,508001,-0.001098901098900984,6,29,2283911.505
monthly,2024-03-29,2024-04-01,momentum_60d,508006,0.1719279937385858,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,momentum_60d,508009,0.13151305591987605,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,momentum_60d,508008,0.12647961420429632,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,momentum_60d,180101,0.12074468085106393,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,momentum_60d,180401,0.11596877217885027,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,momentum_60d,180202,0.11507993662681848,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,508028,0.01581325301204828,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,508096,0.014004336826888286,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,180202,0.009847806624888045,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,508009,0.008670218322365031,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,180103,0.0037783375314861534,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,short_term_reversal_5d,508098,0.0030981067125644968,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,liquidity_20d,508018,17.363814696317085,6,29,6543573.87
monthly,2024-03-29,2024-04-01,liquidity_20d,180401,17.241038716515003,6,29,6543573.87
monthly,2024-03-29,2024-04-01,liquidity_20d,508009,17.045272493528863,6,29,6543573.87
monthly,2024-03-29,2024-04-01,liquidity_20d,508027,17.04336138672375,6,29,6543573.87
monthly,2024-03-29,2024-04-01,liquidity_20d,180101,16.906189330755648,6,29,6543573.87
monthly,2024-03-29,2024-04-01,liquidity_20d,508008,16.89796684180537,6,29,6543573.87
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,508018,-0.02109554777602849,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,508028,-0.022426033422678814,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,180201,-0.03171496078307613,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,180401,-0.0317357144379324,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,508027,-0.03293183857411788,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_illiquidity_20d,508009,-0.03466263065042439,6,29,5282067.85482
monthly,2024-03-29,2024-04-01,low_volatility_20d,508001,-0.06164656418029299,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,low_volatility_20d,180202,-0.08449359830988958,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,low_volatility_20d,180201,-0.10490488054954517,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,low_volatility_20d,508007,-0.10995113789236209,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,low_volatility_20d,508088,-0.1239728786433934,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,low_volatility_20d,508028,-0.12424960142700497,6,29,2030857.9168500002
monthly,2024-03-29,2024-04-01,market_composite,508028,0.8103448275862069,6,29,3845684.4738300005
monthly,2024-03-29,2024-04-01,market_composite,508009,0.7758620689655173,6,29,3845684.4738300005
monthly,2024-03-29,2024-04-01,market_composite,180801,0.7198275862068966,6,29,3845684.4738300005
monthly,2024-03-29,2024-04-01,market_composite,180201,0.689655172413793,6,29,3845684.4738300005
monthly,2024-03-29,2024-04-01,market_composite,508006,0.6724137931034483,6,29,3845684.4738300005
monthly,2024-03-29,2024-04-01,market_composite,508096,0.6551724137931034,6,29,3845684.4738300005
monthly,2024-04-30,2024-05-06,momentum_20d,508028,0.08425784238714606,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_20d,508007,0.08114150447133084,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_20d,508096,0.0799963346467516,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_20d,508099,0.06443719412724302,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_20d,180103,0.06321112515802785,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_20d,508058,0.06268011527377526,6,29,2146438.1025600005
monthly,2024-04-30,2024-05-06,momentum_60d,180101,0.2990825688073395,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,momentum_60d,508019,0.24305555555555536,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,momentum_60d,508056,0.2357013847080074,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,momentum_60d,508099,0.21848739495798308,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,momentum_60d,508077,0.21105072463768093,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,momentum_60d,508098,0.2013343799058085,6,29,2058671.7600000002
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180401,0.0061606702809264835,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180201,0.005808646585345634,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508066,0.005410523468145523,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508019,0.003426124197002167,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180202,0.0015136226034307976,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508058,0.0006775067750677266,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,liquidity_20d,508028,17.334002104693948,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508096,17.19597159845509,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508018,17.10471367478428,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508027,17.057956447552897,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,180401,16.97478294967824,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508006,16.849054903964454,6,29,6231216.27
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,180401,-0.0181266434999617,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508018,-0.01930293276114211,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508028,-0.01972795571955161,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508001,-0.024167109079191732,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508096,-0.024533577421551867,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508027,-0.02464750197398974,6,29,3178753.62
