symbol,asset_type,period_end,publication_date,entry_date,operating_surprise_pct,horizon_trading_days,exit_date,return_pct,benchmark_return_pct,excess_return_pct
180401,gas_power,2023-12-31,2024-01-19,2024-03-20,-36.74215134942946,20,2024-04-19,0.5516549648946878,1.0175996491035733,-0.46594468420888546
180401,gas_power,2023-12-31,2024-01-19,2024-03-20,-36.74215134942946,60,2024-06-20,1.2662988966900768,2.066999287241611,-0.8007003905515342
180401,gas_power,2024-03-31,2024-04-19,2024-04-22,2.742266904709378,20,2024-05-23,-1.9825436408977493,0.5288720992984386,-2.511415740196188
180401,gas_power,2024-03-31,2024-04-19,2024-04-22,2.742266904709378,60,2024-07-19,-1.1471321695760595,0.9422558014031246,-2.089387970979184
180201,toll_road,2024-06-30,2024-07-19,2024-07-22,-4.320455113778443,20,2024-08-19,4.274078428079586,3.5428473479532485,0.7312310801263378
180201,toll_road,2024-06-30,2024-07-19,2024-07-22,-4.320455113778443,60,2024-10-23,-1.889327399445806,0.2646154505426157,-2.1539428499884217
180301,logistics,2024-06-30,2024-07-19,2024-07-22,0.3434343434343461,20,2024-08-19,2.4908125765618516,3.5428473479532485,-1.052034771391397
180301,logistics,2024-06-30,2024-07-19,2024-07-22,0.3434343434343461,60,2024-10-23,-0.7349938750510376,0.2646154505426157,-0.9996093255936533
180401,gas_power,2024-06-30,2024-07-18,2024-07-19,-3.8785805517211998,20,2024-08-16,2.6488395560040345,3.677170321739043,-1.0283307657350083
180401,gas_power,2024-06-30,2024-07-18,2024-07-19,-3.8785805517211998,60,2024-10-22,-2.787588294651866,0.23309774066271327,-3.0206860353145792
180201,toll_road,2024-09-30,2024-10-25,2024-10-28,2.335097305254146,20,2024-11-25,-0.02557544757033625,-0.5199918684399174,0.49441642086958115
180201,toll_road,2024-09-30,2024-10-25,2024-10-28,2.335097305254146,60,2025-01-21,3.04347826086957,7.204990210029649,-4.161511949160079
180301,logistics,2024-09-30,2024-10-25,2024-10-28,-3.101010101010088,20,2024-11-25,-3.6625514403292203,-0.5199918684399174,-3.142559571889303
180301,logistics,2024-09-30,2024-10-25,2024-10-28,-3.101010101010088,60,2025-01-21,0.16460905349793276,7.204990210029649,-7.0403811565317165
180401,gas_power,2024-09-30,2024-10-24,2024-10-25,-7.4041362507801445,20,2024-11-22,1.9399896533885075,-0.2977369847168898,2.2377266381053973
180401,gas_power,2024-09-30,2024-10-24,2024-10-25,-7.4041362507801445,60,2025-01-20,3.4661148473874803,7.172462541902713,-3.706347694515233
508018,toll_road,2024-09-30,2024-10-25,2024-10-28,12.531242342563099,20,2024-11-25,0.9814418272662273,-0.5199918684399174,1.5014336957061447
508018,toll_road,2024-09-30,2024-10-25,2024-10-28,12.531242342563099,60,2025-01-21,0.7673090649536141,7.204990210029649,-6.437681145076035
508028,wind,2024-09-30,2024-10-25,2024-10-28,72.95401056512397,20,2024-11-25,0.28619980323763006,-0.5199918684399174,0.8061916716775475
508028,wind,2024-09-30,2024-10-25,2024-10-28,72.95401056512397,60,2025-01-21,8.746981486450235,7.204990210029649,1.5419912764205845
508056,logistics,2024-09-30,2024-10-25,2024-10-28,-1.76408203149504,20,2024-11-25,-3.4378920953575864,-0.5199918684399174,-2.917900226917669
508056,logistics,2024-09-30,2024-10-25,2024-10-28,-1.76408203149504,60,2025-01-21,0.37641154328733606,7.204990210029649,-6.828578666742313
508096,mixed_energy,2024-09-30,2024-10-24,2024-10-25,-25.08278145695364,20,2024-11-22,1.534400263982838,-0.2977369847168898,1.8321372486997278
508096,mixed_energy,2024-09-30,2024-10-24,2024-10-25,-25.08278145695364,60,2025-01-20,8.117472364296319,7.172462541902713,0.9450098223936054
180201,toll_road,2024-12-31,2025-01-22,2025-01-23,0.14255051869266344,20,2025-02-28,-0.057490144546645805,1.5091225277802378,-1.5666126723268836
180201,toll_road,2024-12-31,2025-01-22,2025-01-23,0.14255051869266344,60,2025-04-28,-0.016425755584759116,3.3385405920554945,-3.3549663476402536
180301,logistics,2024-12-31,2025-01-22,2025-01-23,6.439445736726006,20,2025-02-28,1.19236883942766,1.5091225277802378,-0.3167536883525779
180301,logistics,2024-12-31,2025-01-22,2025-01-23,6.439445736726006,60,2025-04-28,-2.6232114467408474,3.3385405920554945,-5.961752038796342
180401,gas_power,2024-12-31,2025-01-21,2025-01-22,12.762724498922292,20,2025-02-27,1.6182828906732505,2.5259150400931185,-0.907632149419868
180401,gas_power,2024-12-31,2025-01-21,2025-01-22,12.762724498922292,60,2025-04-25,1.6924027177269707,4.443282801881865,-2.750880084154894
508018,toll_road,2024-12-31,2025-01-22,2025-01-23,1.9670157570075455,20,2025-02-28,5.356831268539519,1.5091225277802378,3.8477087407592814
508018,toll_road,2024-12-31,2025-01-22,2025-01-23,1.9670157570075455,60,2025-04-28,8.358052695864604,3.3385405920554945,5.0195121038091095
508028,wind,2024-12-31,2025-01-22,2025-01-23,-20.48217387193591,20,2025-02-28,-1.0496338486574386,1.5091225277802378,-2.5587563764376764
