symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,asset_type,decision_date,universe_count,signal_rank,signal_rank_pct,selected
508028,wind_generation_yoy,2024-09-30,2024-10-25,power_generation,sum,binhai_h1_h2,1,29151.13,2023-09-30,20370.39,43.10540937115097,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,508028:binhai_h1_h2:20230930:power_generation:SSE_508028_20231025_AA5D,unverified,unverified,contains_unverified_source_registry,1,-29.848601193973,72.95401056512397,wind,2024-10-25,7,1.0,1.0,True
508018,jiayu_tongcheng_traffic_yoy,2024-09-30,2024-10-25,traffic_volume,sum,jiayu_tongcheng_expressway,1,28100.0,2023-09-30,26500.0,6.037735849056602,508018:jiayu_tongcheng_expressway:20240930:traffic_volume:SSE_508018_20241025_3E0F,508018:jiayu_tongcheng_expressway:20230930:traffic_volume:SSE_508018_20231024_PTGV,verified,verified,verified,1,-6.493506493506496,12.531242342563099,toll_road,2024-10-25,7,2.0,0.8571428571428571,True
180201,guanghe_traffic_yoy,2024-09-30,2024-10-25,traffic_volume,sum,guanghe_expressway,1,151800.0,2023-09-30,155200.0,-2.1907216494845394,180201:guanghe_expressway:20240930:traffic_volume:SZSE_1221508383,180201:guanghe_expressway:20230930:traffic_volume:SZSE_1218137901,verified,verified,verified,2,-4.525818954738686,2.335097305254146,toll_road,2024-10-25,7,3.0,0.7142857142857143,False
508056,glp_post_expansion_occupancy_yoy,2024-09-30,2024-10-25,occupancy,sum,post_expansion_portfolio,1,84.94,2023-09-30,88.46,-3.9791996382545713,508056:post_expansion_portfolio:20240930:occupancy:SSE_508056_20241025_Y07L,508056:post_expansion_portfolio:20230930:occupancy:SSE_508056_20231025_2K5G,verified,verified,verified,1,-2.2151176067595313,-1.76408203149504,logistics,2024-10-25,7,4.0,0.5714285714285714,False
180301,yantian_occupancy_yoy,2024-09-30,2024-10-25,occupancy,sum,modern_logistics_center,1,88.26,2023-09-30,99.0,-10.84848484848484,180301:modern_logistics_center:20240930:occupancy:SZSE_1221505102,180301:modern_logistics_center:20230930:occupancy:SZSE_1218133516,verified,verified,verified,2,-7.747474747474753,-3.101010101010088,logistics,2024-10-25,7,5.0,0.42857142857142855,False
180401,gas_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,dongbu_power_phase1,1,122828.75,2023-09-30,141972.6,-13.484186385260255,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,180401:dongbu_power_phase1:20230930:settled_electricity:SZSE_1218124391,unverified,unverified,contains_unverified_source_registry,4,-6.080050134480111,-7.4041362507801445,gas_power,2024-10-25,7,6.0,0.2857142857142857,False
508096,solar_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,13200.0,2023-09-30,15100.0,-12.58278145695364,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,508096:hubei_jingtai_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR|508096:yulin_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR,unverified,unverified,contains_unverified_source_registry,1,12.5,-25.08278145695364,mixed_energy,2024-10-25,7,7.0,0.14285714285714285,False
180401,gas_settlement_yoy,2024-12-31,2025-01-21,settled_electricity,sum,dongbu_power_phase1,1,71922.4,2023-12-31,68366.1,5.201847114286151,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,180401:dongbu_power_phase1:20231231:settled_electricity:SZSE_1218945900,unverified,unverified,contains_unverified_source_registry,5,-7.56087738463614,12.762724498922292,gas_power,2025-01-22,7,1.0,1.0,True
180301,yantian_occupancy_yoy,2024-12-31,2025-01-22,occupancy,sum,modern_logistics_center,1,93.0,2023-12-31,95.23,-2.341699044418777,180301:modern_logistics_center:20241231:occupancy:SZSE_1222389148,180301:modern_logistics_center:20231231:occupancy:SZSE_1218956679,verified,verified,verified,3,-8.781144781144782,6.439445736726006,logistics,2025-01-22,7,2.0,0.8571428571428571,True
508018,jiayu_tongcheng_traffic_yoy,2024-12-31,2025-01-22,traffic_volume,sum,jiayu_tongcheng_expressway,1,23400.0,2023-12-31,23000.0,1.7391304347825987,508018:jiayu_tongcheng_expressway:20241231:traffic_volume:SSE_508018_20250122_8BLC,508018:jiayu_tongcheng_expressway:20231231:traffic_volume:SSE_508018_20240119_T5TG,verified,verified,verified,2,-0.22788532222494684,1.9670157570075455,toll_road,2025-01-22,7,3.0,0.7142857142857143,False
