symbol,publication_date,ex_date,dpu_per_unit,disclosed_rmb_per_10_units,source_url,verification_status,raw_text
180201,2023-04-12,2023-04-17,0.374,3.74,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-11/a0074a69-ff1b-4c98-b1ac-847c709b5cce.PDF,machine_extracted_official_pdf,本次分红方案 3.74 元/10份；场内除息日 2023-04-17
180201,2023-08-09,2023-08-14,0.36381,3.6381,https://disc.static.szse.cn/disc/disk03/finalpage/2023-08-08/690497ce-cbb6-46c5-ae3c-da40765ae52c.PDF,machine_extracted_official_pdf,本次分红方案 3.6381 元/10份；场内除息日 2023-08-14
180201,2023-12-20,2023-12-25,0.24289999999999998,2.429,https://disc.static.szse.cn/disc/disk03/finalpage/2023-12-19/b4cb4645-a2ae-403f-960a-72f2e147239b.PDF,machine_extracted_official_pdf,本次分红方案 2.429 元/10份；场内除息日 2023-12-25
180201,2024-04-22,2024-04-25,0.16999999999999998,1.7,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-19/0da2b2c3-f28a-427e-8562-fb8e50c375ac.PDF,machine_extracted_official_pdf,本次分红方案 1.7 元/10份；场内除息日 2024-04-25
180201,2024-07-31,2024-08-05,0.2158,2.158,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-30/52c39005-5f4d-4599-b783-9efdef1dfdce.PDF,machine_extracted_official_pdf,本次分红方案 2.158 元/10份；场内除息日 2024-08-05
180201,2024-12-11,2024-12-16,0.38,3.8,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-10/428cc948-0335-48b4-97c2-cf8e912126b0.PDF,machine_extracted_official_pdf,本次分红方案 3.8 元/10份；场内除息日 2024-12-16
180201,2025-03-29,2025-04-02,0.1558,1.558,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/4c421aed-f8cc-4804-853b-992526541c19.PDF,machine_extracted_official_pdf,本次分红方案 1.558 元/10份；场内除息日 2025-04-02
180201,2025-08-29,2025-09-03,0.35,3.5,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-29/27b34ddf-bbe5-48da-bc2e-55fe891eda5c.PDF,machine_extracted_official_pdf,本次分红方案 3.5 元/10份；场内除息日 2025-09-03
180201,2025-12-19,2025-12-24,0.22000000000000003,2.2,https://disc.static.szse.cn/disc/disk03/finalpage/2025-12-19/943c1631-8c23-4934-92c8-22d690d8a01a.PDF,machine_extracted_official_pdf,本次分红方案 2.2 元/10份；场内除息日 2025-12-24
180201,2026-04-10,2026-04-15,0.16,1.6,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/513bd77d-ffcd-4214-9056-a7e8dcd91699.PDF,machine_extracted_official_pdf,本次分红方案 1.6 元/10份；场内除息日 2026-04-15
180201,2026-08-28,2026-09-02,0.353,3.53,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/976f5cee-0945-44be-9af0-54b8686ae8af.PDF,machine_extracted_official_pdf,本次分红方案 3.53 元/10份；场内除息日 2026-09-02
180301,2023-04-21,2023-04-26,0.10625,1.0625,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-21/610c4861-afaa-46b3-bdf2-a748e2bbfff6.PDF,machine_extracted_official_pdf,本次分红方案 1.0625 元/10份；场内除息日 2023-04-26
180301,2023-09-19,2023-09-22,0.048530000000000004,0.4853,https://disc.static.szse.cn/disc/disk03/finalpage/2023-09-19/46992379-7fe4-471e-885e-66f38c493769.PDF,machine_extracted_official_pdf,本次分红方案 0.4853 元/10份；场内除息日 2023-09-22
180301,2024-03-30,2024-04-08,0.053369999999999994,0.5337,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-30/a9e6a863-5214-41aa-9e35-5c0708dff784.PDF,machine_extracted_official_pdf,本次分红方案 0.5337 元/10份；场内除息日 2024-04-08
180301,2024-08-07,2024-08-12,0.050170000000000006,0.5017,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-07/0c53abc6-0d63-4791-b441-48255bc6e72d.PDF,machine_extracted_official_pdf,本次分红方案 0.5017 元/10份；场内除息日 2024-08-12
180301,2024-11-04,2024-11-07,0.02544,0.2544,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-04/ba0148a0-ea94-4934-a810-b326dbfd0cb8.PDF,machine_extracted_official_pdf,本次分红方案 0.2544 元/10份；场内除息日 2024-11-07
180301,2025-03-28,2025-04-02,0.02361,0.2361,https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-28/6a290137-5615-4734-8d78-86c12ef0c1ce.PDF,machine_extracted_official_pdf,本次分红方案 0.2361 元/10份；场内除息日 2025-04-02
180301,2025-08-29,2025-09-03,0.05012,0.5012,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-29/25ab9279-d564-4975-95f5-3fe3c6f2eea2.PDF,machine_extracted_official_pdf,本次分红方案 0.5012 元/10份；场内除息日 2025-09-03
180301,2025-11-10,2025-11-13,0.02477,0.2477,https://disc.static.szse.cn/disc/disk03/finalpage/2025-11-10/25c21dfa-29b8-481b-93a3-888844e63f33.PDF,machine_extracted_official_pdf,本次分红方案 0.2477 元/10份；场内除息日 2025-11-13
180301,2026-04-08,2026-04-13,0.022189999999999998,0.2219,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-08/0f723a38-0ee4-4105-9b7b-c4113741cbbd.PDF,machine_extracted_official_pdf,本次分红方案 0.2219 元/10份；场内除息日 2026-04-13
180401,2023-05-15,2023-05-18,0.727,7.27,https://disc.static.szse.cn/disc/disk03/finalpage/2023-05-12/c205cd28-649c-4263-8af8-2440e02cc2e1.PDF,machine_extracted_official_pdf,本次分红方案 7.27 元/10份；场内除息日 2023-05-18
180401,2023-12-07,2023-12-12,0.33999999999999997,3.4,https://disc.static.szse.cn/disc/disk03/finalpage/2023-12-06/15c60f49-33d8-4502-89c1-e0244a7f9d2c.PDF,machine_extracted_official_pdf,本次分红方案 3.4 元/10份；场内除息日 2023-12-12
180401,2024-04-23,2024-04-25,0.36,3.6,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-22/853371eb-9cd9-449e-8119-7c70b9af4392.PDF,machine_extracted_official_pdf,本次分红方案 3.6 元/10份；场内除息日 2024-04-25
180401,2024-07-26,2024-07-31,0.2,2.0,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-25/ff672933-b79a-4253-a60c-b05941d17208.PDF,machine_extracted_official_pdf,本次分红方案 2.0 元/10份；场内除息日 2024-07-31
180401,2024-11-11,2024-11-14,0.23500000000000001,2.35,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-08/e9f3291f-c187-4810-8457-52834cf451c7.PDF,machine_extracted_official_pdf,本次分红方案 2.35 元/10份；场内除息日 2024-11-14
180401,2025-05-12,2025-05-14,0.15760000000000002,1.576,https://disc.static.szse.cn/disc/disk03/finalpage/2025-05-09/543bf6c7-1a9e-44d3-837a-9b696436ed0a.PDF,machine_extracted_official_pdf,本次分红方案 1.576 元/10份；场内除息日 2025-05-14
180401,2025-08-28,2025-09-02,0.155,1.55,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-28/cba83903-ad74-4dce-bd76-0ced89e2bd75.PDF,machine_extracted_official_pdf,本次分红方案 1.55 元/10份；场内除息日 2025-09-02
180401,2025-12-05,2025-12-10,0.119,1.19,https://disc.static.szse.cn/disc/disk03/finalpage/2025-12-05/71f20e8e-8caa-4805-90b8-94ad1bad3fa7.PDF,machine_extracted_official_pdf,本次分红方案 1.19 元/10份；场内除息日 2025-12-10
180401,2026-04-28,2026-05-06,0.12430000000000001,1.243,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/608d76a0-efc3-460f-b7ed-eecb3dce70eb.PDF,machine_extracted_official_pdf,本次分红方案 1.243 元/10份；场内除息日 2026-05-06
508018,2023-05-05,2023-05-11,0.07276,0.7276,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-05-05/508018_20230505_OCVP.pdf,machine_extracted_official_pdf,本次分红方案 0.7276 元/10份；场内除息日 2023-05-11
508018,2023-06-09,2023-06-15,0.09339,0.9339,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-06-09/508018_20230609_XQZA.pdf,machine_extracted_official_pdf,本次分红方案 0.9339 元/10份；场内除息日 2023-06-15
508018,2023-08-24,2023-08-29,0.07046,0.7046,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-08-24/508018_20230824_HDVG.pdf,machine_extracted_official_pdf,本次分红方案 0.7046 元/10份；场内除息日 2023-08-29
508018,2023-11-22,2023-11-27,0.07889,0.7889,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-11-22/508018_20231122_ZLH1.pdf,machine_extracted_official_pdf,本次分红方案 0.7889 元/10份；场内除息日 2023-11-27
508018,2024-04-24,2024-04-29,0.07763,0.7763,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-24/508018_20240424_QU80.pdf,machine_extracted_official_pdf,本次分红方案 0.7763 元/10份；场内除息日 2024-04-29
508018,2024-05-30,2024-06-04,0.072,0.72,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-05-30/508018_20240530_YUCW.pdf,machine_extracted_official_pdf,本次分红方案 0.72 元/10份；场内除息日 2024-06-04
508018,2024-08-15,2024-08-20,0.06085,0.6085,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-15/508018_20240815_8X0A.pdf,machine_extracted_official_pdf,本次分红方案 0.6085 元/10份；场内除息日 2024-08-20
508018,2024-11-26,2024-11-29,0.0784,0.784,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-26/508018_20241126_M1DS.pdf,machine_extracted_official_pdf,本次分红方案 0.784 元/10份；场内除息日 2024-11-29
508018,2025-04-30,2025-05-08,0.05413,0.5413,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-30/508018_20250430_2EDN.pdf,machine_extracted_official_pdf,本次分红方案 0.5413 元/10份；场内除息日 2025-05-08
508018,2025-05-23,2025-05-28,0.07264000000000001,0.7264,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-05-23/508018_20250523_WTUP.pdf,machine_extracted_official_pdf,本次分红方案 0.7264 元/10份；场内除息日 2025-05-28
508018,2025-08-15,2025-08-20,0.0593,0.593,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-15/508018_20250815_1Y9R.pdf,machine_extracted_official_pdf,本次分红方案 0.593 元/10份；场内除息日 2025-08-20
508018,2025-11-27,2025-12-02,0.06972,0.6972,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-11-27/508018_20251127_97P0.pdf,machine_extracted_official_pdf,本次分红方案 0.6972 元/10份；场内除息日 2025-12-02
508018,2026-04-24,2026-04-29,0.06078,0.6078,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-24/508018_20260424_P47X.pdf,machine_extracted_official_pdf,本次分红方案 0.6078 元/10份；场内除息日 2026-04-29
508018,2026-05-22,2026-05-27,0.08656,0.8656,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-22/508018_20260522_4ZNX.pdf,machine_extracted_official_pdf,本次分红方案 0.8656 元/10份；场内除息日 2026-05-27
508018,2026-08-14,2026-08-19,0.07618,0.7618,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-14/508018_20260814_WQYB.pdf,machine_extracted_official_pdf,本次分红方案 0.7618 元/10份；场内除息日 2026-08-19
508026,2025-03-04,2025-03-07,0.09469999999999999,0.947,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-04/508026_20250304_CESI.pdf,machine_extracted_official_pdf,本次分红方案 0.947 元/10份；场内除息日 2025-03-07
508026,2025-04-30,2025-05-08,0.09,0.9,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-30/508026_20250430_D7UC.pdf,machine_extracted_official_pdf,本次分红方案 0.9 元/10份；场内除息日 2025-05-08
508026,2025-09-29,2025-10-10,0.08,0.8,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-29/508026_20250929_7N76.pdf,machine_extracted_official_pdf,本次分红方案 0.8 元/10份；场内除息日 2025-10-10
508026,2026-04-22,2026-04-27,0.129,1.29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_7LYZ.pdf,machine_extracted_official_pdf,本次分红方案 1.29 元/10份；场内除息日 2026-04-27
508028,2023-09-19,2023-09-22,0.28738,2.8738,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-09-19/508028_20230919_V4W7.pdf,machine_extracted_official_pdf,本次分红方案 2.8738 元/10份；场内除息日 2023-09-22
508028,2023-12-18,2023-12-21,0.369,3.69,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-12-18/508028_20231218_XZXX.pdf,machine_extracted_official_pdf,本次分红方案 3.69 元/10份；场内除息日 2023-12-21
