symbol,asset_type,classification_status,classification_method,evidence_phrase,publication_date,source_url,raw_title
180101,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-27,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-27/6b8c7b56-88ba-42ca-8aa5-34a5e81431ef.PDF,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2026年中期报告
180102,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/aa5b6b15-d762-461d-9d78-c969c6db34b1.PDF,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金2026年第2季度报告
180103,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/865cb1e9-fb4f-4166-abfc-be6b3975de34.PDF,华夏和达高科REIT：华夏杭州和达高科产业园封闭式基础设施证券投资基金2026年第2季度报告
180105,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e19df923-e274-43c9-85d2-61f6d8e2fc7f.PDF,易方达广开产园REIT：易方达广州开发区高新产业园封闭式基础设施证券投资基金2026年第2季度报告
180106,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-20,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/5b83f095-463f-4aac-9dcb-7728ec421096.PDF,广发成都高投产业园REIT：广发成都高投产业园封闭式基础设施证券投资基金2026年第2季度报告
180201,toll_road,human_verified,official_source_manual_review,2026年第2季度报告及连续季度运营指标,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e98b1e02-6b71-4e0c-8200-c51a13b7b40c.PDF,平安广州广河REIT
180202,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/be267523-b8eb-4c32-9ba4-083e4bd7f0be.PDF,华夏越秀高速REIT：华夏越秀高速公路封闭式基础设施证券投资基金2026年第2季度报告
180203,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/a8e96566-0853-4555-a8c5-1f4ec4fc4543.PDF,招商高速公路REIT：招商基金招商公路高速公路封闭式基础设施证券投资基金2026年第2季度报告
180301,logistics,human_verified,official_source_manual_review,2026年第2季度报告及首发现代物流中心连续出租率,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/07522a94-dc7a-46f6-b694-51f76af36494.PDF,红土创新盐田港REIT
180302,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/372c364d-09b0-4fff-bc61-5c04a2b4b991.PDF,华夏深国际REIT：华夏深国际仓储物流封闭式基础设施证券投资基金2026年第2季度报告
180303,logistics,official_title_evidence,official_announcement_title_keyword,物流仓储,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/0e9cfb17-615f-435a-bd63-3504bf81d6e8.PDF,华泰宝湾物流REIT：华泰紫金宝湾物流仓储封闭式基础设施证券投资基金2026年第2季度报告
180305,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/02292f89-fbb6-48d2-ace9-4d3ef573683f.PDF,南方顺丰物流REIT：南方顺丰仓储物流封闭式基础设施证券投资基金2026年第2季度报告
180306,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e915fd62-2eff-4f0e-b980-8d7bfaf982a9.PDF,华夏安博仓储REIT：华夏安博仓储物流封闭式基础设施证券投资基金2026年第2季度报告
180401,gas_power,human_verified,official_source_manual_review,2026年第2季度报告及连续季度燃气发电运营指标,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/62427907-8e2e-4a82-94bd-dd38d7f9998d.PDF,鹏华深圳能源REIT
180402,renewable,official_title_evidence,official_announcement_title_keyword,清洁能源,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/5e92280c-2d77-4774-a060-a19382c1f6ee.PDF,工银蒙能清洁能源REIT：工银瑞信蒙能清洁能源封闭式基础设施证券投资基金2026年第2季度报告
180501,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/51f3655b-c769-4903-a7d3-b43bf8b89ea5.PDF,红土创新深圳安居REIT：红土创新深圳安居保障性租赁住房封闭式基础设施证券投资基金2026年第2季度报告
180502,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-08-28,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/2049126a-a693-4172-b2b8-09ddcbe1696c.PDF,招商基金蛇口租赁住房REIT：招商基金招商蛇口租赁住房封闭式基础设施证券投资基金2026年中期报告
180503,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/94438251-4a8d-46a0-86cb-75010a2664c0.PDF,中航北京昌保租赁住房REIT：中航北京昌保租赁住房封闭式基础设施证券投资基金2026年第2季度报告
