announcement_id,symbol,event_type,event_stage,event_date_candidate,event_date_semantics,effective_date,candidate_status,title,source_url
SZSE_1214696323,180101,expansion,other_official_disclosure,2022-09-28,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金扩募方案,https://disc.static.szse.cn/disc/disk03/finalpage/2022-09-28/d9ef2101-f6bd-4ba8-96af-f89508e6b83b.PDF
SZSE_1215301801,180101,expansion,other_official_disclosure,2022-12-09,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时基金管理有限公司关于收到深圳证券交易所《关于博时招商蛇口产业园封闭式基础设施证券投资基金产品变更暨扩募份额上市和招商蛇口博时产业园基础设施2期资产支持专项计划挂牌条件确认申请文件的审核问询函》的公告,https://disc.static.szse.cn/disc/disk03/finalpage/2022-12-08/d3305ef7-0b44-4310-afbe-29c0261ea2d9.PDF
SZSE_1216092314,180101,expansion,other_official_disclosure,2023-03-11,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时基金管理有限公司关于回复深圳证券交易所《关于博时招商蛇口产业园封闭式基础设施证券投资基金产品变更暨扩募份额上市和招商蛇口博时产业园基础设施2期资产支持专项计划挂牌条件确认申请文件的审核问询函》的提示性公告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-03-10/6fcc3b2a-41bc-43d0-9511-d6f1089fba39.PDF
SZSE_1216442915,180101,expansion,other_official_disclosure,2023-04-18,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年度扩募并新购入基础设施项目招募说明书（草案）,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-18/899722e9-c687-41fd-b2b0-44e64afff892.PDF
SZSE_1216855183,180101,expansion,other_official_disclosure,2023-05-19,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2023年度扩募并新购入基础设施项目招募说明书,https://disc.static.szse.cn/disc/disk03/finalpage/2023-05-19/fa6019ef-11d0-4e65-9a77-51c521887390.PDF
SZSE_1216979328,180101,expansion,other_official_disclosure,2023-06-03,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金定向扩募发行情况报告书,https://disc.static.szse.cn/disc/disk03/finalpage/2023-06-02/52de3e19-47cf-41d4-be37-844bfa7a853c.PDF
SZSE_1216979329,180101,expansion,other_official_disclosure,2023-06-03,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金扩募引入战略投资者专项核查报告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-06-03/805bfcc1-4f53-4bfb-b6bb-ff35f8b61a09.PDF
SZSE_1216979330,180101,expansion,other_official_disclosure,2023-06-03,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：北京市中伦律师事务所关于博时招商蛇口产业园封闭式基础设施证券投资基金扩募引入战略投资者核查事项的法律意见书,https://disc.static.szse.cn/disc/disk03/finalpage/2023-06-02/34aae3a7-22ef-45d3-9d9a-fdce653af409.PDF
SZSE_1216993922,180101,expansion,other_official_disclosure,2023-06-06,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金扩募基金份额限售公告,https://disc.static.szse.cn/disc/disk03/finalpage/2023-06-05/2bd819e4-d5c1-42a4-b4c7-892bb67af992.PDF
SZSE_1217044874,180101,expansion,expansion_units_listing_notice,2023-06-13,announcement_publication_only,,official_title_candidate,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金扩募份额上市交易公告书,https://disc.static.szse.cn/disc/disk03/finalpage/2023-06-12/407aabd0-efdb-4738-a719-fe8e1ab64832.PDF
