symbol,quarterly_report_count,semiannual_report_count,annual_report_count,distribution_announcement_count,first_announcement_date,latest_announcement_date,asset_type,classification_status,asset_type_source_url,listing_date,listing_source_url,listing_status,has_periodic_report,has_distribution_announcement
180101,20,6,6,12,2021-05-20,2026-08-27,industrial_park,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-27/6b8c7b56-88ba-42ca-8aa5-34a5e81431ef.PDF,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/102aa6f2-71be-4f5a-adf3-471bf035b0ec.PDF,listed,True,True
180102,15,3,4,11,2022-09-06,2026-08-21,industrial_park,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/aa5b6b15-d762-461d-9d78-c969c6db34b1.PDF,2022-10-10,https://disc.static.szse.cn/disc/disk03/finalpage/2022-10-10/9d614593-5b0e-464d-9040-08d08a13acf6.PDF,listed,True,True
180103,14,3,3,11,2022-12-02,2026-08-21,industrial_park,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/865cb1e9-fb4f-4166-abfc-be6b3975de34.PDF,2022-12-27,https://disc.static.szse.cn/disc/disk03/finalpage/2022-12-27/73073898-e946-47b4-b7f9-500e71afccf5.PDF,listed,True,True
180105,7,1,2,3,2024-08-13,2026-08-11,industrial_park,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e19df923-e274-43c9-85d2-61f6d8e2fc7f.PDF,2024-09-23,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-23/ce70fbc3-c30d-4c97-ba09-4f5bf7a18896.PDF,listed,True,True
180106,6,1,1,5,2024-11-21,2026-08-21,industrial_park,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/5b83f095-463f-4aac-9dcb-7728ec421096.PDF,2024-12-19,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-19/a98807a3-583f-425a-a943-c55a6874a70c.PDF,listed,True,True
180201,20,5,5,14,2021-05-20,2026-08-28,toll_road,human_verified,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e98b1e02-6b71-4e0c-8200-c51a13b7b40c.PDF,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/edc76ee0-8c4a-4a66-b0b2-acf5f257eb72.PDF,listed,True,True
180202,18,4,4,15,2021-11-16,2026-08-17,toll_road,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/be267523-b8eb-4c32-9ba4-083e4bd7f0be.PDF,2021-12-14,https://disc.static.szse.cn/disc/disk02/finalpage/2021-12-14/31bf41a1-23b9-480a-80b9-bcfefe3873e1.PDF,listed,True,True
180203,7,1,2,5,2024-09-18,2026-08-26,toll_road,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/a8e96566-0853-4555-a8c5-1f4ec4fc4543.PDF,2024-11-21,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-21/30dd5c18-4bd2-476c-9b1a-372649a93f4d.PDF,listed,True,True
180301,20,4,5,10,2021-05-19,2026-07-21,logistics,human_verified,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/07522a94-dc7a-46f6-b694-51f76af36494.PDF,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/2fef5b72-1ba1-4f42-be9d-3e347d3c7cb4.PDF,listed,True,True
180302,8,1,2,7,2024-06-06,2026-07-21,logistics,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/372c364d-09b0-4fff-bc61-5c04a2b4b991.PDF,2024-07-09,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-09/aebd6a81-2102-4918-8d7c-91b1f6a70b00.PDF,listed,True,True
