symbol,status,rows,first_date,last_date,attempts,error,retrieved_at,universe_snapshot_date,start_date,end_date
180101,available,1261,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180102,available,949,2022-10-10,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180103,available,893,2022-12-27,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180105,available,472,2024-09-23,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180106,available,414,2024-12-19,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180201,available,1264,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180202,available,1145,2021-12-14,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180203,available,434,2024-11-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180301,available,1262,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180302,available,524,2024-07-09,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180303,available,451,2024-10-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180305,available,335,2025-04-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180306,available,171,2025-12-19,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180401,available,997,2022-07-26,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180402,available,420,2024-12-10,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180501,available,971,2022-08-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180502,available,455,2024-10-23,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180503,available,87,2026-04-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180601,available,601,2024-03-14,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180602,available,570,2024-04-30,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180603,available,473,2024-09-20,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180605,available,388,2025-01-24,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180606,available,290,2025-06-27,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180607,available,206,2025-10-31,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180701,available,443,2024-11-08,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180801,available,1264,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
180901,available,260,2025-08-08,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
181001,no_history,0,,,1,AKShare Sina returned no history in range for 181001,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508000,available,1263,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508001,available,1264,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508002,available,496,2024-08-16,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508003,available,446,2024-11-05,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508005,available,487,2024-08-28,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508006,available,1262,2021-06-21,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508007,available,693,2023-10-27,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508008,available,1009,2022-07-08,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508009,available,918,2022-11-22,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
