announcement_id,symbol,publication_date,title,bulletin_type,original_type,document_type_candidate,period_end_candidate,source_url,exchange,catalog_status
SZSE_1210011202,180101,2021-05-20,蛇口产园：基金产品资料概要,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-20/47397779-4113-4cd1-a811-4a3255178fc3.PDF,SZSE,unreviewed
SZSE_1210011203,180101,2021-05-20,蛇口产园：基金合同,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-20/455b5430-d0b7-4328-b2c6-bb1734f71dfa.PDF,SZSE,unreviewed
SZSE_1210011204,180101,2021-05-20,蛇口产园：托管协议,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-20/12c3b0f2-4e37-4fdb-80f2-ca69815e1ae1.PDF,SZSE,unreviewed
SZSE_1210011205,180101,2021-05-20,蛇口产园：招募说明书,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-20/0758bc13-68ce-4067-9a44-dbda2d4f7be6.PDF,SZSE,unreviewed
SZSE_1210011206,180101,2021-05-20,蛇口产园：基金份额网下询价公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-20/751c9eb3-6baf-435b-b3a8-1c0f5e413fc6.PDF,SZSE,unreviewed
SZSE_1210106152,180101,2021-05-27,蛇口产园：博时基金管理有限公司、招商证券股份有限公司关于基金战略投资者专项核查报告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-27/f4333f07-795f-4052-8757-5547270ffab8.PDF,SZSE,unreviewed
SZSE_1210106153,180101,2021-05-27,蛇口产园：基金份额发售公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-27/27aad2f4-856d-4c17-890b-9ce64f9f808f.PDF,SZSE,unreviewed
SZSE_1210106154,180101,2021-05-27,蛇口产园：北京市中伦律师事务所关于基金战略投资者核查事项的法律意见书,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-05-27/4d2d9fb0-87ef-4953-8ec9-7682cba75193.PDF,SZSE,unreviewed
SZSE_1210130409,180101,2021-06-01,蛇口产园：关于公众投资者提前结束募集暨进行公众投资者末日比例配售的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-01/a56daf2e-540f-4256-85fe-d25518ad3164.PDF,SZSE,unreviewed
SZSE_1210143155,180101,2021-06-02,蛇口产园：关于回拨及认购申请确认比例结果的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-02/8b1a7dec-4e49-404a-8419-142e2b3c00d3.PDF,SZSE,unreviewed
SZSE_1210183608,180101,2021-06-08,蛇口产园：基金份额限售公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-08/5e358da0-0215-42b0-9139-4dfb12b30507.PDF,SZSE,unreviewed
SZSE_1210183609,180101,2021-06-08,蛇口产园：基金合同生效公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-08/80ab905b-903b-4270-adce-854211a48324.PDF,SZSE,unreviewed
SZSE_1210183928,180101,2021-06-08,蛇口产园：基金产品资料概要更新,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-08/b7dcc7f7-a543-4f00-a67e-1d1247ac6a67.PDF,SZSE,unreviewed
SZSE_1210198654,180101,2021-06-09,蛇口产园：关于博时招商蛇口产业园封闭式基础设施证券投资基金开通系统内转托管和跨系统转托管业务的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-09/0cda4a17-bf16-46dd-b92a-e812451f378a.PDF,SZSE,unreviewed
SZSE_1210239369,180101,2021-06-16,蛇口产园：上市交易公告书,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-16/15e2685f-dbf8-48b1-9763-5ea146618ce0.PDF,SZSE,unreviewed
SZSE_1210239370,180101,2021-06-16,蛇口产园：关于流动性服务商的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-16/b80e7c74-7c96-475f-942a-0350cdca13ad.PDF,SZSE,unreviewed
SZSE_1210292944,180101,2021-06-21,蛇口产园：博时招商蛇口产业园封闭式基础设施证券投资基金上市交易提示性公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/102aa6f2-71be-4f5a-adf3-471bf035b0ec.PDF,SZSE,unreviewed
SZSE_1210292945,180101,2021-06-21,蛇口产园：博时招商蛇口产业园封闭式基础设施证券投资基金基金产品资料概要更新,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/bedfabef-2760-4a3e-8054-d2064d481caa.PDF,SZSE,unreviewed
SZSE_1210806821,180101,2021-08-21,蛇口产园：博时基金管理有限公司关于旗下深交所基金新增扩位简称的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-08-21/734c81dc-0ee0-4a01-8160-5555b870a29f.PDF,SZSE,unreviewed
SZSE_1210843717,180101,2021-08-25,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金基金产品资料概要更新,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-08-25/c3eddf38-b92b-4906-8e81-9d34034c7f29.PDF,SZSE,unreviewed
SZSE_1211393469,180101,2021-10-27,博时蛇口产园REIT：2021年第3季度报告,PDF,,quarterly_report,2021-09-30,https://disc.static.szse.cn/disc/disk02/finalpage/2021-10-27/9930ff4e-ed5d-4a45-b147-17344e8eb12a.PDF,SZSE,unreviewed
SZSE_1211683592,180101,2021-11-24,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金更新招募说明书,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-11-24/c4d92f29-5ab7-42cf-abf7-7e78a34bacf5.PDF,SZSE,unreviewed
SZSE_1211683593,180101,2021-11-24,博时蛇口产园REIT：关于博时招商蛇口产业园封闭式基础设施证券投资基金修改招募说明书的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-11-24/10bf5057-a47c-4e61-a714-06d44aad4a6a.PDF,SZSE,unreviewed
SZSE_1211704165,180101,2021-11-26,博时蛇口产园REIT：博时基金管理有限公司关于博时招商蛇口产业园封闭式基础设施证券投资基金收益分配的公告,PDF,,distribution_announcement,,https://disc.static.szse.cn/disc/disk02/finalpage/2021-11-26/a275f84e-c50f-4968-a64c-b259ee041bf5.PDF,SZSE,unreviewed
SZSE_1212074026,180101,2022-01-01,博时蛇口产园REIT：博时基金管理有限公司关于旗下公开募集证券投资基金执行新金融工具准则的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk02/finalpage/2022-01-01/ec305ae4-3319-4b14-8e32-6c25ac82ca0b.PDF,SZSE,unreviewed
SZSE_1212239392,180101,2022-01-24,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金2021年第4季度报告,PDF,,quarterly_report,2021-12-31,https://disc.static.szse.cn/disc/disk03/finalpage/2022-01-24/a50c9018-5cd3-4c8b-8d97-e3f3d9de2b1e.PDF,SZSE,unreviewed
SZSE_1212351524,180101,2022-02-14,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金停复牌及交易风险提示的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk03/finalpage/2022-02-14/daed7386-a5a5-417a-8ce2-e7830678c104.PDF,SZSE,unreviewed
SZSE_1212362403,180101,2022-02-15,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金停复牌及交易风险提示的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk03/finalpage/2022-02-15/1b24e61b-3c5a-4106-b023-5dcd93d36d21.PDF,SZSE,unreviewed
SZSE_1212453039,180101,2022-02-25,博时蛇口产园REIT：关于博时招商蛇口产业园封闭式基础设施证券投资基金深圳证券交易所基金通平台做市商的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk03/finalpage/2022-02-25/0e79852e-8285-47d4-bdde-c2e36bb968d3.PDF,SZSE,unreviewed
SZSE_1212453055,180101,2022-02-25,博时蛇口产园REIT：博时招商蛇口产业园封闭式基础设施证券投资基金开通深圳证券交易所基金通平台份额转让业务的公告,PDF,,other,,https://disc.static.szse.cn/disc/disk03/finalpage/2022-02-25/d4398498-5cd4-4ce6-b13f-4b62bece4a63.PDF,SZSE,unreviewed
